n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,DTLZ1,eps+,EPS+,0.20709969679140539,0
2,DTLZ1,eps+,IGD+,0.9178353581543818,0
2,DTLZ1,eps+,R2,7.296207103396969e-10,1
2,DTLZ1,hv,EPS+,0.9642469782590378,0
2,DTLZ1,hv,IGD+,0.5277952819967366,0
2,DTLZ1,hv,R2,0.5555458726852709,0
2,DTLZ1,igd,EPS+,0.05124876850412542,0
2,DTLZ1,igd,IGD+,0.07416306305768115,0
2,DTLZ1,igd,R2,5.727848462910632e-07,1
2,DTLZ1,igd+,EPS+,0.986102517454306,0
2,DTLZ1,igd+,IGD+,0.4460939878115133,0
2,DTLZ1,igd+,R2,0.14953333720064657,0
2,DTLZ1,r2,EPS+,0.7609319475432558,0
2,DTLZ1,r2,IGD+,0.5555458726852709,0
2,DTLZ1,r2,R2,0.00015742061043217347,1
2,DTLZ1,s-energy,EPS+,0.905833739143213,0
2,DTLZ1,s-energy,IGD+,0.866271440419835,0
2,DTLZ1,s-energy,R2,0.07954666674035774,0
2,DTLZ1,spd,EPS+,0.5845281481741025,0
2,DTLZ1,spd,IGD+,0.6722580986170004,0
2,DTLZ1,spd,R2,0.4804128066262674,0
2,DTLZ2,eps+,EPS+,0.0010179681993838792,1
2,DTLZ2,eps+,IGD+,0.07615857418393583,0
2,DTLZ2,eps+,R2,3.2387195490787174e-10,1
2,DTLZ2,hv,EPS+,1.1493232863562654e-22,1
2,DTLZ2,hv,IGD+,0.00013534187625010322,1
2,DTLZ2,hv,R2,3.087813494347904e-07,1
2,DTLZ2,igd,EPS+,2.1146428513497947e-35,1
2,DTLZ2,igd,IGD+,0.91992502994049,0
2,DTLZ2,igd,R2,1.46681274973444e-14,1
2,DTLZ2,igd+,EPS+,0.00010629893049392326,1
2,DTLZ2,igd+,IGD+,0.3245463033380499,0
2,DTLZ2,igd+,R2,0.40004240563692073,0
