n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,DTLZ1,eps+,IGD+,0.8419691151811232,0
2,DTLZ1,eps+,R2,0.5616670283345775,0
2,DTLZ1,hv,IGD+,0.2986647867616229,0
2,DTLZ1,hv,R2,0.09622162843510612,0
2,DTLZ1,igd,IGD+,0.1402211569276782,0
2,DTLZ1,igd,R2,0.17216389327626838,0
2,DTLZ1,igd+,IGD+,0.6678436005308571,0
2,DTLZ1,igd+,R2,0.07237644160405919,0
2,DTLZ1,r2,IGD+,0.4828978275493988,0
2,DTLZ1,r2,R2,0.07476726647858867,0
2,DTLZ1,s-energy,IGD+,0.23507003369761884,0
2,DTLZ1,s-energy,R2,0.22469016026867455,0
2,DTLZ1,spd,IGD+,0.3660801754713591,0
2,DTLZ1,spd,R2,0.13339324406323308,0
2,DTLZ2,eps+,IGD+,0.12749016081015713,0
2,DTLZ2,eps+,R2,0.5030424650508698,0
2,DTLZ2,hv,IGD+,0.12764317522676696,0
2,DTLZ2,hv,R2,0.20816952297152,0
2,DTLZ2,igd,IGD+,0.5792370378980345,0
2,DTLZ2,igd,R2,0.8243437620969043,0
2,DTLZ2,igd+,IGD+,0.4517295247870906,0
2,DTLZ2,igd+,R2,0.47791481154594506,0
2,DTLZ2,r2,IGD+,0.7117692300062872,0
2,DTLZ2,r2,R2,0.96413034748594,0
2,DTLZ2,s-energy,IGD+,0.00954082126343029,1
2,DTLZ2,s-energy,R2,0.31532122330195267,0
2,DTLZ2,spd,IGD+,0.00017191812126630832,1
2,DTLZ2,spd,R2,0.42751586842256817,0
2,DTLZ3,eps+,IGD+,0.2742542348229948,0
2,DTLZ3,eps+,R2,0.5651718732760374,0
2,DTLZ3,hv,IGD+,0.6093082907614024,0
2,DTLZ3,hv,R2,0.6270608793359845,0
2,DTLZ3,igd,IGD+,0.520069101895909,0
2,DTLZ3,igd,R2,0.3850575440704928,0
2,DTLZ3,igd+,IGD+,0.6448169892321155,0
2,DTLZ3,igd+,R2,0.7012155844314465,0
2,DTLZ3,r2,IGD+,0.12305349688966903,0
2,DTLZ3,r2,R2,0.49292878956716424,0
2,DTLZ3,s-energy,IGD+,0.0634810284056652,0
2,DTLZ3,s-energy,R2,0.12119271728486562,0
2,DTLZ3,spd,IGD+,0.5286560497148146,0
2,DTLZ3,spd,R2,0.6244836944212682,0
2,DTLZ4,eps+,IGD+,0.9194053076177024,0
2,DTLZ4,eps+,R2,0.9659844445135505,0
2,DTLZ4,hv,IGD+,0.5778797586656585,0
2,DTLZ4,hv,R2,0.5484892616008233,0
2,DTLZ4,igd,IGD+,0.30829036482007,0
2,DTLZ4,igd,R2,0.5933634832419624,0
2,DTLZ4,igd+,IGD+,0.7438918225307217,0
2,DTLZ4,igd+,R2,0.5757143703378464,0
2,DTLZ4,r2,IGD+,0.808555332153509,0
2,DTLZ4,r2,R2,0.7108312003535339,0
2,DTLZ4,s-energy,IGD+,0.9519122077847088,0
2,DTLZ4,s-energy,R2,0.6819482899992707,0
2,DTLZ4,spd,IGD+,0.1537865102693635,0
2,DTLZ4,spd,R2,0.033160721790815986,1
2,DTLZ5,eps+,IGD+,0.014469193502137156,1
2,DTLZ5,eps+,R2,0.5286560497148146,0
2,DTLZ5,hv,IGD+,0.12764317522676696,0
2,DTLZ5,hv,R2,0.20816952297152,0
2,DTLZ5,igd,IGD+,0.11516273684927149,0
2,DTLZ5,igd,R2,0.8273320119243487,0
2,DTLZ5,igd+,IGD+,0.31793872200602924,0
2,DTLZ5,igd+,R2,0.7339985587622195,0
2,DTLZ5,r2,IGD+,0.7117692300062872,0
2,DTLZ5,r2,R2,0.96413034748594,0
2,DTLZ5,s-energy,IGD+,0.00954082126343029,1
2,DTLZ5,s-energy,R2,0.31532122330195267,0
2,DTLZ5,spd,IGD+,0.00017191812126630832,1
2,DTLZ5,spd,R2,0.42751586842256817,0
2,DTLZ6,eps+,IGD+,0.10441347491058642,0
2,DTLZ6,eps+,R2,0.6475756333509352,0
2,DTLZ6,hv,IGD+,4.7168756834394785e-06,1
2,DTLZ6,hv,R2,0.10081197585907771,0
2,DTLZ6,igd,IGD+,0.04968764543691884,1
2,DTLZ6,igd,R2,0.12813492825839792,0
2,DTLZ6,igd+,IGD+,0.05714887926630052,0
2,DTLZ6,igd+,R2,0.533829967264868,0
2,DTLZ6,r2,IGD+,0.44850499385298925,0
2,DTLZ6,r2,R2,0.4381005615627159,0
2,DTLZ6,s-energy,IGD+,1.643879548174479e-06,1
2,DTLZ6,s-energy,R2,0.5722581546063099,0
2,DTLZ6,spd,IGD+,6.027743259757537e-11,1
2,DTLZ6,spd,R2,0.6791483016670758,0
2,DTLZ7,eps+,IGD+,0.33255040524659063,0
2,DTLZ7,eps+,R2,0.494608786084793,0
2,DTLZ7,hv,IGD+,0.0009538171588182057,1
2,DTLZ7,hv,R2,0.932271488070059,0
2,DTLZ7,igd,IGD+,0.2649026715355561,0
2,DTLZ7,igd,R2,0.4200068841313377,0
2,DTLZ7,igd+,IGD+,0.12181029165685939,0
2,DTLZ7,igd+,R2,0.16970006611241173,0
2,DTLZ7,r2,IGD+,0.5652308871315894,0
2,DTLZ7,r2,R2,0.9474699867192558,0
2,DTLZ7,s-energy,IGD+,0.3285544946509545,0
2,DTLZ7,s-energy,R2,0.8875046469000828,0
2,DTLZ7,spd,IGD+,0.938135419357162,0
2,DTLZ7,spd,R2,0.931513090196507,0
2,WFG1,eps+,IGD+,0.6749039998744133,0
2,WFG1,eps+,R2,0.6896424191986416,0
2,WFG1,hv,IGD+,0.7509167549142981,0
2,WFG1,hv,R2,0.501831199220762,0
2,WFG1,igd,IGD+,0.8091164318953683,0
2,WFG1,igd,R2,0.6232374403958951,0
2,WFG1,igd+,IGD+,0.8091164318953683,0
2,WFG1,igd+,R2,0.6232374403958951,0
2,WFG1,r2,IGD+,0.7254449533096043,0
2,WFG1,r2,R2,0.7698883600054542,0
2,WFG1,s-energy,IGD+,0.17973022826769827,0
2,WFG1,s-energy,R2,0.26795910354538843,0
2,WFG1,spd,IGD+,0.7773671597597592,0
2,WFG1,spd,R2,0.29014279918049035,0
2,WFG2,eps+,IGD+,0.3603580865981772,0
2,WFG2,eps+,R2,0.5030424650508698,0
2,WFG2,hv,IGD+,0.3850575440704928,0
