hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
IGD+,DTLZ1,2,eps+,0.0
R2,DTLZ1,2,eps+,0.0
IGD+,DTLZ1,2,hv,0.0
R2,DTLZ1,2,hv,0.0
IGD+,DTLZ1,2,igd,0.0
R2,DTLZ1,2,igd,0.0
IGD+,DTLZ1,2,igd+,0.0
R2,DTLZ1,2,igd+,0.0
IGD+,DTLZ1,2,r2,0.0
R2,DTLZ1,2,r2,0.0
IGD+,DTLZ1,2,s-energy,0.0
R2,DTLZ1,2,s-energy,0.0
IGD+,DTLZ1,2,spd,0.0
R2,DTLZ1,2,spd,0.0
IGD+,DTLZ2,2,eps+,0.0
R2,DTLZ2,2,eps+,0.0
IGD+,DTLZ2,2,hv,0.0
R2,DTLZ2,2,hv,0.0
IGD+,DTLZ2,2,igd,0.0
R2,DTLZ2,2,igd,0.0
IGD+,DTLZ2,2,igd+,0.0
R2,DTLZ2,2,igd+,0.0
IGD+,DTLZ2,2,r2,0.0
R2,DTLZ2,2,r2,0.0
IGD+,DTLZ2,2,s-energy,1.0
R2,DTLZ2,2,s-energy,0.0
IGD+,DTLZ2,2,spd,1.0
R2,DTLZ2,2,spd,0.0
IGD+,DTLZ3,2,eps+,0.0
R2,DTLZ3,2,eps+,0.0
IGD+,DTLZ3,2,hv,0.0
R2,DTLZ3,2,hv,0.0
IGD+,DTLZ3,2,igd,0.0
R2,DTLZ3,2,igd,0.0
IGD+,DTLZ3,2,igd+,0.0
R2,DTLZ3,2,igd+,0.0
IGD+,DTLZ3,2,r2,0.0
R2,DTLZ3,2,r2,0.0
IGD+,DTLZ3,2,s-energy,0.0
R2,DTLZ3,2,s-energy,0.0
IGD+,DTLZ3,2,spd,0.0
R2,DTLZ3,2,spd,0.0
IGD+,DTLZ4,2,eps+,0.0
R2,DTLZ4,2,eps+,0.0
IGD+,DTLZ4,2,hv,0.0
R2,DTLZ4,2,hv,0.0
IGD+,DTLZ4,2,igd,0.0
R2,DTLZ4,2,igd,0.0
IGD+,DTLZ4,2,igd+,0.0
R2,DTLZ4,2,igd+,0.0
IGD+,DTLZ4,2,r2,0.0
R2,DTLZ4,2,r2,0.0
IGD+,DTLZ4,2,s-energy,0.0
R2,DTLZ4,2,s-energy,0.0
IGD+,DTLZ4,2,spd,0.0
R2,DTLZ4,2,spd,0.0
IGD+,DTLZ5,2,eps+,1.0
R2,DTLZ5,2,eps+,0.0
IGD+,DTLZ5,2,hv,0.0
R2,DTLZ5,2,hv,0.0
IGD+,DTLZ5,2,igd,0.0
R2,DTLZ5,2,igd,0.0
IGD+,DTLZ5,2,igd+,0.0
R2,DTLZ5,2,igd+,0.0
IGD+,DTLZ5,2,r2,0.0
