problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
DTLZ1,3,5.445624e+01 +- 5.445624e+01,5.953951e+01 +- 5.953951e+01,5.346716e+01 +- 5.346716e+01,5.303657e+01 +- 5.303657e+01,5.271856e+01 +- 5.271856e+01,5.930746e+01 +- 5.930746e+01,5.243604e+01 +- 5.243604e+01,5.235293e+01 +- 5.235293e+01,5.219162e+01 +- 5.219162e+01,5.254718e+01 +- 5.254718e+01,5.214725e+01 +- 5.214725e+01
DTLZ1,5,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01,1.577014e+01 +- 1.577014e+01
DTLZ1,7,1.118495e+04 +- 1.118495e+04,1.110541e+04 +- 1.110541e+04,1.102684e+04 +- 1.102684e+04,1.106110e+04 +- 1.106110e+04,1.130938e+04 +- 1.130938e+04,1.138317e+04 +- 1.138317e+04,1.138464e+04 +- 1.138464e+04,1.153444e+04 +- 1.153444e+04,1.145946e+04 +- 1.145946e+04,1.177048e+04 +- 1.177048e+04,1.175500e+04 +- 1.175500e+04
DTLZ1,10,3.490502e+00 +- 3.490502e+00,3.395373e+00 +- 3.395373e+00,4.853659e+00 +- 4.853659e+00,1.722050e+00 +- 1.722050e+00,6.224590e+00 +- 6.224590e+00,3.922868e+00 +- 3.922868e+00,1.623576e+00 +- 1.623576e+00,1.503944e+00 +- 1.503944e+00,3.509663e+00 +- 3.509663e+00,3.788623e+00 +- 3.788623e+00,1.319946e+00 +- 1.319946e+00
DTLZ2,3,3.195554e+00 +- 3.195554e+00,3.186016e+00 +- 3.186016e+00,3.221646e+00 +- 3.221646e+00,3.201333e+00 +- 3.201333e+00,3.195768e+00 +- 3.195768e+00,3.202621e+00 +- 3.202621e+00,3.205027e+00 +- 3.205027e+00,3.191115e+00 +- 3.191115e+00,3.174489e+00 +- 3.174489e+00,3.202363e+00 +- 3.202363e+00,3.189384e+00 +- 3.189384e+00
DTLZ2,5,,,,,,,,,,,
DTLZ2,7,6.728811e-01 +- 6.728811e-01,6.988196e-01 +- 6.988196e-01,6.729239e-01 +- 6.729239e-01,6.781546e-01 +- 6.781546e-01,6.642941e-01 +- 6.642941e-01,7.031190e-01 +- 7.031190e-01,6.583615e-01 +- 6.583615e-01,6.687206e-01 +- 6.687206e-01,6.680481e-01 +- 6.680481e-01,6.758926e-01 +- 6.758926e-01,6.657244e-01 +- 6.657244e-01
DTLZ2,10,7.045529e+04 +- 7.045529e+04,7.093691e+04 +- 7.093691e+04,7.075127e+04 +- 7.075127e+04,7.429616e+04 +- 7.429616e+04,7.363905e+04 +- 7.363905e+04,7.538661e+04 +- 7.538661e+04,7.070859e+04 +- 7.070859e+04,7.297952e+04 +- 7.297952e+04,7.343679e+04 +- 7.343679e+04,7.650687e+04 +- 7.650687e+04,7.214391e+04 +- 7.214391e+04
DTLZ3,3,1.922323e+00 +- 1.922323e+00,2.227639e+00 +- 2.227639e+00,3.180242e+00 +- 3.180242e+00,4.118384e+00 +- 4.118384e+00,3.812896e+00 +- 3.812896e+00,3.263445e+00 +- 3.263445e+00,3.421254e+00 +- 3.421254e+00,3.257476e+00 +- 3.257476e+00,3.103921e+00 +- 3.103921e+00,3.286584e+00 +- 3.286584e+00,2.686865e+00 +- 2.686865e+00
DTLZ3,5,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313,2.121996e-313 +- 2.121996e-313
DTLZ3,7,9.979162e+03 +- 9.979162e+03,9.610052e+03 +- 9.610052e+03,9.519675e+03 +- 9.519675e+03,9.349467e+03 +- 9.349467e+03,9.506455e+03 +- 9.506455e+03,9.330807e+03 +- 9.330807e+03,9.347381e+03 +- 9.347381e+03,9.674679e+03 +- 9.674679e+03,9.639227e+03 +- 9.639227e+03,9.677924e+03 +- 9.677924e+03,9.622791e+03 +- 9.622791e+03
DTLZ3,10,,,,,,,,,,,
DTLZ4,3,1.014274e+02 +- 1.014274e+02,7.781823e+02 +- 7.781823e+02,8.278518e+02 +- 8.278518e+02,7.114440e+02 +- 7.114440e+02,6.974935e+02 +- 6.974935e+02,8.201510e+02 +- 8.201510e+02,8.764320e+02 +- 8.764320e+02,9.136716e+02 +- 9.136716e+02,9.499562e+02 +- 9.499562e+02,9.431645e+02 +- 9.431645e+02,8.733464e+02 +- 8.733464e+02
DTLZ4,5,1.468692e+03 +- 1.468692e+03,1.588674e+03 +- 1.588674e+03,1.576322e+03 +- 1.576322e+03,6.272376e+08 +- 6.272376e+08,1.433045e+03 +- 1.433045e+03,1.321377e+03 +- 1.321377e+03,1.515918e+03 +- 1.515918e+03,1.539052e+03 +- 1.539052e+03,1.765242e+03 +- 1.765242e+03,1.468222e+03 +- 1.468222e+03,1.242957e+03 +- 1.242957e+03
DTLZ4,7,8.101230e-02 +- 8.101230e-02,8.048998e-02 +- 8.048998e-02,7.334766e-02 +- 7.334766e-02,7.304763e-02 +- 7.304763e-02,6.937507e-02 +- 6.937507e-02,6.929084e-02 +- 6.929084e-02,6.820121e-02 +- 6.820121e-02,6.778027e-02 +- 6.778027e-02,6.768768e-02 +- 6.768768e-02,6.615146e-02 +- 6.615146e-02,6.923245e-02 +- 6.923245e-02
DTLZ4,10,4.023446e-01 +- 4.023446e-01,3.946428e-01 +- 3.946428e-01,3.921048e-01 +- 3.921048e-01,3.915371e-01 +- 3.915371e-01,3.923034e-01 +- 3.923034e-01,3.935001e-01 +- 3.935001e-01,3.965282e-01 +- 3.965282e-01,3.948744e-01 +- 3.948744e-01,3.928903e-01 +- 3.928903e-01,3.966730e-01 +- 3.966730e-01,3.917671e-01 +- 3.917671e-01
DTLZ5,3,4.446794e-01 +- 4.446794e-01,4.265636e-01 +- 4.265636e-01,4.100625e-01 +- 4.100625e-01,4.355613e-01 +- 4.355613e-01,4.124387e-01 +- 4.124387e-01,4.207962e-01 +- 4.207962e-01,3.718332e-01 +- 3.718332e-01,4.128107e-01 +- 4.128107e-01,4.055309e-01 +- 4.055309e-01,4.009505e-01 +- 4.009505e-01,4.099104e-01 +- 4.099104e-01
DTLZ5,5,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314,4.243992e-314 +- 4.243992e-314
