problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
DTLZ1,2,4.529238e+00 +- 4.529238e+00,4.526617e+00 +- 4.526617e+00,4.522312e+00 +- 4.522312e+00,4.633387e+00 +- 4.633387e+00,4.521867e+00 +- 4.521867e+00,4.531908e+00 +- 4.531908e+00,4.529426e+00 +- 4.529426e+00,4.527573e+00 +- 4.527573e+00,4.524792e+00 +- 4.524792e+00,4.560105e+00 +- 4.560105e+00,4.602813e+00 +- 4.602813e+00
DTLZ1,3,8.954801e+00 +- 8.954801e+00,8.973104e+00 +- 8.973104e+00,8.929410e+00 +- 8.929410e+00,8.777163e+00 +- 8.777163e+00,8.904927e+00 +- 8.904927e+00,9.075798e+00 +- 9.075798e+00,8.839976e+00 +- 8.839976e+00,9.075739e+00 +- 9.075739e+00,9.001157e+00 +- 9.001157e+00,8.910220e+00 +- 8.910220e+00,8.837296e+00 +- 8.837296e+00
DTLZ1,4,1.375022e+01 +- 1.375022e+01,1.394151e+01 +- 1.394151e+01,1.392700e+01 +- 1.392700e+01,1.354116e+01 +- 1.354116e+01,1.498501e+01 +- 1.498501e+01,1.409147e+01 +- 1.409147e+01,1.438387e+01 +- 1.438387e+01,1.315027e+01 +- 1.315027e+01,1.457705e+01 +- 1.457705e+01,1.396265e+01 +- 1.396265e+01,1.393520e+01 +- 1.393520e+01
DTLZ1,5,2.162092e+01 +- 2.162092e+01,2.158485e+01 +- 2.158485e+01,2.306649e+01 +- 2.306649e+01,2.173857e+01 +- 2.173857e+01,2.104641e+01 +- 2.104641e+01,2.194675e+01 +- 2.194675e+01,1.947662e+01 +- 1.947662e+01,2.129119e+01 +- 2.129119e+01,2.306705e+01 +- 2.306705e+01,1.979415e+01 +- 1.979415e+01,2.331388e+01 +- 2.331388e+01
DTLZ1,6,2.777893e+01 +- 2.777893e+01,2.689691e+01 +- 2.689691e+01,2.867373e+01 +- 2.867373e+01,2.863305e+01 +- 2.863305e+01,2.806607e+01 +- 2.806607e+01,2.489346e+01 +- 2.489346e+01,2.935872e+01 +- 2.935872e+01,2.708871e+01 +- 2.708871e+01,2.498468e+01 +- 2.498468e+01,2.615155e+01 +- 2.615155e+01,2.417978e+01 +- 2.417978e+01
DTLZ1,7,2.810958e+01 +- 2.810958e+01,2.829775e+01 +- 2.829775e+01,2.734231e+01 +- 2.734231e+01,2.752883e+01 +- 2.752883e+01,2.840263e+01 +- 2.840263e+01,2.927384e+01 +- 2.927384e+01,2.675201e+01 +- 2.675201e+01,2.178193e+01 +- 2.178193e+01,2.461450e+01 +- 2.461450e+01,2.988019e+01 +- 2.988019e+01,3.013872e+01 +- 3.013872e+01
DTLZ1,10,,,,,,,,,,,
DTLZ2,2,8.820200e+00 +- 8.820200e+00,8.805556e+00 +- 8.805556e+00,8.818531e+00 +- 8.818531e+00,8.814017e+00 +- 8.814017e+00,8.804901e+00 +- 8.804901e+00,8.819796e+00 +- 8.819796e+00,8.803463e+00 +- 8.803463e+00,8.806985e+00 +- 8.806985e+00,8.816101e+00 +- 8.816101e+00,8.816303e+00 +- 8.816303e+00,8.820067e+00 +- 8.820067e+00
DTLZ2,3,3.188797e+01 +- 3.188797e+01,3.209399e+01 +- 3.209399e+01,3.201168e+01 +- 3.201168e+01,3.208010e+01 +- 3.208010e+01,3.186556e+01 +- 3.186556e+01,3.204730e+01 +- 3.204730e+01,3.202325e+01 +- 3.202325e+01,3.200127e+01 +- 3.200127e+01,3.202125e+01 +- 3.202125e+01,3.219698e+01 +- 3.219698e+01,3.197852e+01 +- 3.197852e+01
DTLZ2,4,6.290958e+01 +- 6.290958e+01,6.298271e+01 +- 6.298271e+01,6.275786e+01 +- 6.275786e+01,6.291604e+01 +- 6.291604e+01,6.304927e+01 +- 6.304927e+01,6.316996e+01 +- 6.316996e+01,6.286122e+01 +- 6.286122e+01,6.285569e+01 +- 6.285569e+01,6.308859e+01 +- 6.308859e+01,6.293579e+01 +- 6.293579e+01,6.297807e+01 +- 6.297807e+01
DTLZ2,5,8.692214e+01 +- 8.692214e+01,8.705867e+01 +- 8.705867e+01,8.654475e+01 +- 8.654475e+01,8.673068e+01 +- 8.673068e+01,8.675039e+01 +- 8.675039e+01,8.679924e+01 +- 8.679924e+01,8.671803e+01 +- 8.671803e+01,8.701945e+01 +- 8.701945e+01,8.702298e+01 +- 8.702298e+01,8.678130e+01 +- 8.678130e+01,8.655516e+01 +- 8.655516e+01
DTLZ2,6,9.987018e+01 +- 9.987018e+01,9.957249e+01 +- 9.957249e+01,1.004237e+02 +- 1.004237e+02,1.001345e+02 +- 1.001345e+02,1.002013e+02 +- 1.002013e+02,1.005227e+02 +- 1.005227e+02,9.997896e+01 +- 9.997896e+01,9.998033e+01 +- 9.998033e+01,9.967739e+01 +- 9.967739e+01,9.977492e+01 +- 9.977492e+01,9.948551e+01 +- 9.948551e+01
DTLZ2,7,1.039154e+02 +- 1.039154e+02,1.032611e+02 +- 1.032611e+02,1.029127e+02 +- 1.029127e+02,1.048437e+02 +- 1.048437e+02,1.035444e+02 +- 1.035444e+02,1.049502e+02 +- 1.049502e+02,1.037509e+02 +- 1.037509e+02,1.040452e+02 +- 1.040452e+02,1.047448e+02 +- 1.047448e+02,1.040941e+02 +- 1.040941e+02,1.023089e+02 +- 1.023089e+02
DTLZ2,10,,,,,,,,,,,
