n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,eps+,EPS+,0.001,nan,2.852983e-01,5.795889e-01,2.598283e-01,1.074219e-02,6.808281e-03,2.658463e-02,8.590698e-03,1.478767e-02,1.197529e-02,5.269909e-02
2,DTLZ1,eps+,EPS+,0.1,7.270622e-01,nan,8.058119e-01,5.652561e-01,1.012249e-01,7.682323e-02,4.865360e-02,8.842659e-02,1.558971e-01,2.912903e-02,1.227436e-01
2,DTLZ1,eps+,EPS+,0.2,4.347439e-01,2.045488e-01,nan,1.471262e-01,1.811695e-02,1.478767e-02,3.479004e-02,1.197529e-02,6.636333e-02,6.808281e-03,7.682323e-02
2,DTLZ1,eps+,EPS+,0.3,7.401717e-01,4.491587e-01,8.613224e-01,nan,5.269909e-02,8.247852e-02,4.865360e-02,3.792572e-02,1.080837e-01,1.080837e-01,1.649914e-01
2,DTLZ1,eps+,EPS+,0.4,9.903831e-01,9.053259e-01,9.836159e-01,9.513464e-01,nan,5.363607e-01,4.491587e-01,6.628885e-01,6.357470e-01,2.374525e-01,6.628885e-01
2,DTLZ1,eps+,EPS+,0.5,9.939604e-01,9.285469e-01,9.866791e-01,9.231768e-01,4.781647e-01,nan,4.204111e-01,3.920631e-01,6.761723e-01,4.347439e-01,5.938225e-01
2,DTLZ1,eps+,EPS+,0.6,9.757795e-01,9.551525e-01,9.681387e-01,9.551525e-01,5.652561e-01,5.938225e-01,nan,5.072823e-01,7.020903e-01,2.729378e-01,3.920631e-01
2,DTLZ1,eps+,EPS+,0.7,9.923439e-01,9.175215e-01,9.892578e-01,9.652100e-01,3.505907e-01,6.219168e-01,5.072823e-01,nan,6.219168e-01,3.920631e-01,4.491587e-01
2,DTLZ1,eps+,EPS+,0.8,9.866791e-01,8.528738e-01,9.384537e-01,8.987751e-01,3.780832e-01,3.371115e-01,3.107567e-01,3.920631e-01,nan,2.261877e-01,4.347439e-01
2,DTLZ1,eps+,EPS+,0.9,9.892578e-01,9.734154e-01,9.939604e-01,8.987751e-01,7.738123e-01,5.795889e-01,7.391634e-01,6.219168e-01,7.847834e-01,nan,7.509956e-01
2,DTLZ1,eps+,EPS+,0.999,9.513464e-01,8.847437e-01,9.285469e-01,8.441029e-01,3.505907e-01,4.204111e-01,6.219168e-01,5.652561e-01,5.795889e-01,2.608366e-01,nan
2,DTLZ1,eps+,IGD+,0.001,nan,6.892433e-01,3.371115e-01,2.261877e-01,5.795889e-01,6.628885e-01,8.255949e-01,5.938225e-01,6.357470e-01,2.045488e-01,5.508413e-01
2,DTLZ1,eps+,IGD+,0.1,3.238277e-01,nan,3.505907e-01,2.261877e-01,4.347439e-01,6.079369e-01,7.020903e-01,3.238277e-01,4.491587e-01,2.490044e-01,2.608366e-01
2,DTLZ1,eps+,IGD+,0.2,6.761723e-01,6.628885e-01,nan,3.920631e-01,6.761723e-01,7.020903e-01,9.430065e-01,7.509956e-01,8.772564e-01,3.371115e-01,5.652561e-01
2,DTLZ1,eps+,IGD+,0.3,7.847834e-01,7.847834e-01,6.219168e-01,nan,7.391634e-01,8.350086e-01,8.613224e-01,7.391634e-01,6.357470e-01,4.204111e-01,4.927177e-01
2,DTLZ1,eps+,IGD+,0.4,4.347439e-01,5.795889e-01,3.371115e-01,2.729378e-01,nan,5.652561e-01,8.058119e-01,5.508413e-01,4.347439e-01,1.152563e-01,3.238277e-01
2,DTLZ1,eps+,IGD+,0.5,3.505907e-01,4.061775e-01,3.107567e-01,1.744051e-01,4.491587e-01,nan,5.508413e-01,2.729378e-01,5.218353e-01,2.608366e-01,2.152166e-01
2,DTLZ1,eps+,IGD+,0.6,1.841383e-01,3.107567e-01,6.154633e-02,1.471262e-01,2.045488e-01,4.636393e-01,nan,1.558971e-01,1.152563e-01,4.484749e-02,1.558971e-01
