problema,dimension,Indicador,w_0,Indicador_diversidad,victoria
DTLZ1,2,eps+,0.001,IGD+,False
DTLZ1,2,eps+,0.1,IGD+,False
DTLZ1,2,eps+,0.2,IGD+,False
DTLZ1,2,eps+,0.3,IGD+,False
DTLZ1,2,eps+,0.4,IGD+,False
DTLZ1,2,eps+,0.5,IGD+,False
DTLZ1,2,eps+,0.6000000000000001,IGD+,False
DTLZ1,2,eps+,0.7000000000000001,IGD+,False
DTLZ1,2,eps+,0.8,IGD+,False
DTLZ1,2,eps+,0.9,IGD+,False
DTLZ1,2,eps+,0.999,IGD+,False
DTLZ1,3,eps+,0.001,IGD+,True
DTLZ1,3,eps+,0.1,IGD+,False
DTLZ1,3,eps+,0.2,IGD+,True
DTLZ1,3,eps+,0.3,IGD+,True
DTLZ1,3,eps+,0.4,IGD+,True
DTLZ1,3,eps+,0.5,IGD+,True
DTLZ1,3,eps+,0.6000000000000001,IGD+,True
DTLZ1,3,eps+,0.7000000000000001,IGD+,True
DTLZ1,3,eps+,0.8,IGD+,True
DTLZ1,3,eps+,0.9,IGD+,True
DTLZ1,3,eps+,0.999,IGD+,True
DTLZ1,4,eps+,0.001,IGD+,True
DTLZ1,4,eps+,0.1,IGD+,True
DTLZ1,4,eps+,0.2,IGD+,True
DTLZ1,4,eps+,0.3,IGD+,True
DTLZ1,4,eps+,0.4,IGD+,True
DTLZ1,4,eps+,0.5,IGD+,True
DTLZ1,4,eps+,0.6000000000000001,IGD+,True
DTLZ1,4,eps+,0.7000000000000001,IGD+,True
DTLZ1,4,eps+,0.8,IGD+,False
DTLZ1,4,eps+,0.9,IGD+,True
DTLZ1,4,eps+,0.999,IGD+,True
DTLZ1,5,eps+,0.001,IGD+,True
DTLZ1,5,eps+,0.1,IGD+,True
DTLZ1,5,eps+,0.2,IGD+,True
DTLZ1,5,eps+,0.3,IGD+,True
DTLZ1,5,eps+,0.4,IGD+,True
DTLZ1,5,eps+,0.5,IGD+,True
DTLZ1,5,eps+,0.6000000000000001,IGD+,True
DTLZ1,5,eps+,0.7000000000000001,IGD+,False
DTLZ1,5,eps+,0.8,IGD+,False
DTLZ1,5,eps+,0.9,IGD+,False
DTLZ1,5,eps+,0.999,IGD+,True
DTLZ1,6,eps+,0.001,IGD+,False
DTLZ1,6,eps+,0.1,IGD+,False
DTLZ1,6,eps+,0.2,IGD+,True
DTLZ1,6,eps+,0.3,IGD+,False
DTLZ1,6,eps+,0.4,IGD+,False
DTLZ1,6,eps+,0.5,IGD+,False
DTLZ1,6,eps+,0.6000000000000001,IGD+,False
DTLZ1,6,eps+,0.7000000000000001,IGD+,False
DTLZ1,6,eps+,0.8,IGD+,False
DTLZ1,6,eps+,0.9,IGD+,False
DTLZ1,6,eps+,0.999,IGD+,True
DTLZ1,7,eps+,0.001,IGD+,False
DTLZ1,7,eps+,0.1,IGD+,False
DTLZ1,7,eps+,0.2,IGD+,False
DTLZ1,7,eps+,0.3,IGD+,False
DTLZ1,7,eps+,0.4,IGD+,False
DTLZ1,7,eps+,0.5,IGD+,True
DTLZ1,7,eps+,0.6000000000000001,IGD+,False
DTLZ1,7,eps+,0.7000000000000001,IGD+,False
DTLZ1,7,eps+,0.8,IGD+,False
DTLZ1,7,eps+,0.9,IGD+,True
DTLZ1,7,eps+,0.999,IGD+,False
DTLZ1,2,hv,0.001,IGD+,False
DTLZ1,2,hv,0.1,IGD+,False
DTLZ1,2,hv,0.2,IGD+,False
DTLZ1,2,hv,0.3,IGD+,False
DTLZ1,2,hv,0.4,IGD+,False
DTLZ1,2,hv,0.5,IGD+,False
DTLZ1,2,hv,0.6000000000000001,IGD+,False
DTLZ1,2,hv,0.7000000000000001,IGD+,False
DTLZ1,2,hv,0.8,IGD+,False
DTLZ1,2,hv,0.9,IGD+,False
DTLZ1,2,hv,0.999,IGD+,False
DTLZ1,3,hv,0.001,IGD+,True
DTLZ1,3,hv,0.1,IGD+,True
DTLZ1,3,hv,0.2,IGD+,True
DTLZ1,3,hv,0.3,IGD+,True
DTLZ1,3,hv,0.4,IGD+,True
DTLZ1,3,hv,0.5,IGD+,True
DTLZ1,3,hv,0.6000000000000001,IGD+,True
DTLZ1,3,hv,0.7000000000000001,IGD+,True
DTLZ1,3,hv,0.8,IGD+,True
DTLZ1,3,hv,0.9,IGD+,True
DTLZ1,3,hv,0.999,IGD+,True
DTLZ1,4,hv,0.001,IGD+,True
DTLZ1,4,hv,0.1,IGD+,True
DTLZ1,4,hv,0.2,IGD+,True
DTLZ1,4,hv,0.3,IGD+,True
DTLZ1,4,hv,0.4,IGD+,True
DTLZ1,4,hv,0.5,IGD+,True
DTLZ1,4,hv,0.6000000000000001,IGD+,True
DTLZ1,4,hv,0.7000000000000001,IGD+,True
DTLZ1,4,hv,0.8,IGD+,True
DTLZ1,4,hv,0.9,IGD+,True
DTLZ1,4,hv,0.999,IGD+,True
DTLZ1,5,hv,0.001,IGD+,True
DTLZ1,5,hv,0.1,IGD+,True
DTLZ1,5,hv,0.2,IGD+,True
DTLZ1,5,hv,0.3,IGD+,True
DTLZ1,5,hv,0.4,IGD+,True
DTLZ1,5,hv,0.5,IGD+,True
DTLZ1,5,hv,0.6000000000000001,IGD+,True
DTLZ1,5,hv,0.7000000000000001,IGD+,False
DTLZ1,5,hv,0.8,IGD+,True
DTLZ1,5,hv,0.9,IGD+,True
DTLZ1,5,hv,0.999,IGD+,True
DTLZ1,6,hv,0.001,IGD+,False
DTLZ1,6,hv,0.1,IGD+,False
DTLZ1,6,hv,0.2,IGD+,True
DTLZ1,6,hv,0.3,IGD+,True
DTLZ1,6,hv,0.4,IGD+,False
DTLZ1,6,hv,0.5,IGD+,False
DTLZ1,6,hv,0.6000000000000001,IGD+,False
DTLZ1,6,hv,0.7000000000000001,IGD+,False
DTLZ1,6,hv,0.8,IGD+,False
DTLZ1,6,hv,0.9,IGD+,False
DTLZ1,6,hv,0.999,IGD+,True
DTLZ1,7,hv,0.001,IGD+,False
DTLZ1,7,hv,0.1,IGD+,False
DTLZ1,7,hv,0.2,IGD+,False
DTLZ1,7,hv,0.3,IGD+,False
DTLZ1,7,hv,0.4,IGD+,False
DTLZ1,7,hv,0.5,IGD+,False
DTLZ1,7,hv,0.6000000000000001,IGD+,False
DTLZ1,7,hv,0.7000000000000001,IGD+,False
DTLZ1,7,hv,0.8,IGD+,True
DTLZ1,7,hv,0.9,IGD+,False
DTLZ1,7,hv,0.999,IGD+,False
DTLZ1,2,igd,0.001,IGD+,False
DTLZ1,2,igd,0.1,IGD+,False
DTLZ1,2,igd,0.2,IGD+,False
DTLZ1,2,igd,0.3,IGD+,False
