n_objetivos,problema,indicador,0,1,2,3,4,5,6,7,8,9,10
2,DTLZ1,eps+,0,0,0,0,0,1,1,0,0,1,0
2,DTLZ1,hv,0,0,0,1,0,3,1,0,0,0,0
2,DTLZ1,igd,0,0,0,0,1,1,0,2,0,1,0
2,DTLZ1,igd+,0,0,0,0,1,0,0,0,0,0,0
2,DTLZ1,r2,0,0,5,0,0,1,0,0,0,0,0
2,DTLZ1,s-energy,0,1,0,0,1,2,2,3,1,0,1
2,DTLZ1,spd,0,1,1,0,5,0,0,0,0,0,0
2,DTLZ2,eps+,0,0,0,0,0,1,0,0,0,1,0
2,DTLZ2,hv,2,0,0,0,0,3,0,0,0,0,0
2,DTLZ2,igd,0,0,0,0,3,0,0,1,0,3,0
2,DTLZ2,igd+,0,0,0,0,2,0,0,0,0,4,0
2,DTLZ2,r2,1,0,0,0,0,0,0,0,0,0,0
2,DTLZ2,s-energy,0,0,0,0,0,0,0,4,0,0,0
2,DTLZ2,spd,0,1,0,0,3,0,4,3,0,0,0
2,DTLZ3,eps+,0,0,0,0,0,0,0,2,0,0,2
2,DTLZ3,hv,2,0,0,0,0,0,0,1,0,0,0
2,DTLZ3,igd,1,0,0,0,1,0,0,3,0,0,1
2,DTLZ3,igd+,3,0,0,0,1,0,0,1,0,0,0
2,DTLZ3,r2,0,0,0,0,0,1,1,0,0,4,0
2,DTLZ3,s-energy,0,0,0,0,0,0,0,0,0,0,0
2,DTLZ3,spd,7,1,0,0,0,0,0,3,0,0,2
2,DTLZ4,eps+,0,0,0,1,0,0,6,0,0,0,0
2,DTLZ4,hv,6,0,0,0,0,5,0,0,0,0,3
2,DTLZ4,igd,0,0,0,1,0,1,0,2,1,0,0
2,DTLZ4,igd+,0,0,1,1,0,0,0,7,3,0,0
2,DTLZ4,r2,1,0,1,0,0,0,0,0,0,0,0
2,DTLZ4,s-energy,0,0,0,0,0,0,0,0,0,0,0
2,DTLZ4,spd,0,2,2,2,0,0,0,3,2,0,0
2,DTLZ5,eps+,1,0,0,2,0,2,2,0,0,1,2
2,DTLZ5,hv,2,0,0,0,0,3,0,0,0,0,0
2,DTLZ5,igd,0,0,0,0,0,0,0,0,0,2,0
2,DTLZ5,igd+,1,0,0,0,0,0,0,0,0,0,0
