problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.179001
WFG9,eps+,w_00,3,1,0.216102
WFG9,eps+,w_00,3,2,0.198663
WFG9,eps+,w_00,3,3,0.251503
WFG9,eps+,w_00,3,4,0.160429
WFG9,eps+,w_00,3,5,0.154451
WFG9,eps+,w_00,3,6,0.197526
WFG9,eps+,w_00,3,7,0.174107
WFG9,eps+,w_00,3,8,0.251838
WFG9,eps+,w_00,3,9,0.189082
WFG9,eps+,w_00,3,10,0.1670434
WFG9,eps+,w_00,3,11,0.190143
WFG9,eps+,w_00,3,12,0.173507
WFG9,eps+,w_00,3,13,0.178003
WFG9,eps+,w_00,3,14,0.195836
WFG9,eps+,w_00,3,15,0.205792
WFG9,eps+,w_00,3,16,0.171563
WFG9,eps+,w_00,3,17,0.183716
WFG9,eps+,w_00,3,18,0.191013
WFG9,eps+,w_00,3,19,0.195806
WFG8,r2,w_00,7,0,2445.812
WFG8,r2,w_00,7,1,2241.906
WFG8,r2,w_00,7,2,2415.644
WFG8,r2,w_00,7,3,2378.937
WFG8,r2,w_00,7,4,2187.2
WFG8,r2,w_00,7,5,2280.573
WFG8,r2,w_00,7,6,2276.441
WFG8,r2,w_00,7,7,2347.15
WFG8,r2,w_00,7,8,2389.313
WFG8,r2,w_00,7,9,2446.495
WFG8,r2,w_00,7,10,2447.551
WFG8,r2,w_00,7,11,2338.079
WFG8,r2,w_00,7,12,2472.922
WFG8,r2,w_00,7,13,2269.913
WFG8,r2,w_00,7,14,2367.464
WFG8,r2,w_00,7,15,2565.588
WFG8,r2,w_00,7,16,2260.645
WFG8,r2,w_00,7,17,2292.258
WFG8,r2,w_00,7,18,2583.95
WFG8,r2,w_00,7,19,2337.248
DTLZ4,hv,w_00,4,0,12.83532
DTLZ4,hv,w_00,4,1,14.80982
DTLZ4,hv,w_00,4,2,14.82634
DTLZ4,hv,w_00,4,3,15.57177
DTLZ4,hv,w_00,4,4,15.57111
DTLZ4,hv,w_00,4,5,15.56985
DTLZ4,hv,w_00,4,6,15.57183
DTLZ4,hv,w_00,4,7,15.57265
DTLZ4,hv,w_00,4,8,14.83216
DTLZ4,hv,w_00,4,9,14.64337
DTLZ4,hv,w_00,4,10,14.79288
DTLZ4,hv,w_00,4,11,15.57285
DTLZ4,hv,w_00,4,12,14.82931
DTLZ4,hv,w_00,4,13,15.57131
DTLZ4,hv,w_00,4,14,14.80348
DTLZ4,hv,w_00,4,15,14.84043
DTLZ4,hv,w_00,4,16,14.83254
DTLZ4,hv,w_00,4,17,15.57005
DTLZ4,hv,w_00,4,18,14.83414
DTLZ4,hv,w_00,4,19,15.57279
DTLZ3,s-energy,w_00,5,0,11685200000000.0
DTLZ3,s-energy,w_00,5,1,184766.7
DTLZ3,s-energy,w_00,5,2,163215.0
DTLZ3,s-energy,w_00,5,3,177495.0
DTLZ3,s-energy,w_00,5,4,175134.2
DTLZ3,s-energy,w_00,5,5,1118178.0
DTLZ3,s-energy,w_00,5,6,205168.1
DTLZ3,s-energy,w_00,5,7,171649.1
DTLZ3,s-energy,w_00,5,8,214003.5
DTLZ3,s-energy,w_00,5,9,167296.9
DTLZ3,s-energy,w_00,5,10,172707.4
DTLZ3,s-energy,w_00,5,11,202372.7
DTLZ3,s-energy,w_00,5,12,1.439651e+20
DTLZ3,s-energy,w_00,5,13,181682.7
DTLZ3,s-energy,w_00,5,14,221979.0
DTLZ3,s-energy,w_00,5,15,183775.8
DTLZ3,s-energy,w_00,5,16,191514.3
DTLZ3,s-energy,w_00,5,17,152062.6
DTLZ3,s-energy,w_00,5,18,190273.3
DTLZ3,s-energy,w_00,5,19,158700.4
DTLZ2,r2,w_00,3,0,1.419753
DTLZ2,r2,w_00,3,1,1.422789
DTLZ2,r2,w_00,3,2,1.465109
DTLZ2,r2,w_00,3,3,1.425102
DTLZ2,r2,w_00,3,4,1.438204
DTLZ2,r2,w_00,3,5,1.38935
DTLZ2,r2,w_00,3,6,1.369503
DTLZ2,r2,w_00,3,7,1.391603
DTLZ2,r2,w_00,3,8,1.424728
DTLZ2,r2,w_00,3,9,1.420607
DTLZ2,r2,w_00,3,10,1.434002
DTLZ2,r2,w_00,3,11,1.463737
DTLZ2,r2,w_00,3,12,1.418922
DTLZ2,r2,w_00,3,13,1.408973
DTLZ2,r2,w_00,3,14,1.429458
DTLZ2,r2,w_00,3,15,1.464566
DTLZ2,r2,w_00,3,16,1.379156
DTLZ2,r2,w_00,3,17,1.419505
DTLZ2,r2,w_00,3,18,1.440654
DTLZ2,r2,w_00,3,19,1.383367
WFG3,s-energy,w_00,3,0,71792.43
WFG3,s-energy,w_00,3,1,75531.61
WFG3,s-energy,w_00,3,2,76652.96
WFG3,s-energy,w_00,3,3,76359.18
WFG3,s-energy,w_00,3,4,70184.23
WFG3,s-energy,w_00,3,5,70972.12
WFG3,s-energy,w_00,3,6,75536.27
WFG3,s-energy,w_00,3,7,77015.09
WFG3,s-energy,w_00,3,8,71101.48
WFG3,s-energy,w_00,3,9,72085.32
