problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.217718
WFG9,eps+,w_00,3,1,0.240986
WFG9,eps+,w_00,3,2,0.240616
WFG9,eps+,w_00,3,3,0.2360984
WFG9,eps+,w_00,3,4,0.26739
WFG9,eps+,w_00,3,5,0.231144
WFG9,eps+,w_00,3,6,0.256653
WFG9,eps+,w_00,3,7,0.229309
WFG9,eps+,w_00,3,8,0.255309
WFG9,eps+,w_00,3,9,0.209055
WFG9,eps+,w_00,3,10,0.255781
WFG9,eps+,w_00,3,11,0.242679
WFG9,eps+,w_00,3,12,0.223533
WFG9,eps+,w_00,3,13,0.216419
WFG9,eps+,w_00,3,14,0.233609
WFG9,eps+,w_00,3,15,0.247423
WFG9,eps+,w_00,3,16,0.211957
WFG9,eps+,w_00,3,17,0.239981
WFG9,eps+,w_00,3,18,0.239711
WFG9,eps+,w_00,3,19,0.249027
WFG8,r2,w_00,7,0,3702.359
WFG8,r2,w_00,7,1,3439.39
WFG8,r2,w_00,7,2,3010.487
WFG8,r2,w_00,7,3,2770.234
WFG8,r2,w_00,7,4,3374.487
WFG8,r2,w_00,7,5,2673.684
WFG8,r2,w_00,7,6,2938.499
WFG8,r2,w_00,7,7,2551.715
WFG8,r2,w_00,7,8,3447.606
WFG8,r2,w_00,7,9,3239.891
WFG8,r2,w_00,7,10,2857.638
WFG8,r2,w_00,7,11,3016.262
WFG8,r2,w_00,7,12,3078.36
WFG8,r2,w_00,7,13,2892.833
WFG8,r2,w_00,7,14,3295.791
WFG8,r2,w_00,7,15,3284.771
WFG8,r2,w_00,7,16,2676.686
WFG8,r2,w_00,7,17,2562.527
WFG8,r2,w_00,7,18,2806.035
WFG8,r2,w_00,7,19,2700.597
DTLZ4,hv,w_00,4,0,15.55168
DTLZ4,hv,w_00,4,1,15.55102
DTLZ4,hv,w_00,4,2,15.55162
DTLZ4,hv,w_00,4,3,12.82962
DTLZ4,hv,w_00,4,4,15.54917
DTLZ4,hv,w_00,4,5,15.54933
DTLZ4,hv,w_00,4,6,14.8207
DTLZ4,hv,w_00,4,7,15.55413
DTLZ4,hv,w_00,4,8,12.83684
DTLZ4,hv,w_00,4,9,12.83824
DTLZ4,hv,w_00,4,10,15.55156
DTLZ4,hv,w_00,4,11,15.54469
DTLZ4,hv,w_00,4,12,14.80835
DTLZ4,hv,w_00,4,13,14.82724
DTLZ4,hv,w_00,4,14,14.80379
DTLZ4,hv,w_00,4,15,15.54791
DTLZ4,hv,w_00,4,16,15.54561
DTLZ4,hv,w_00,4,17,14.80975
DTLZ4,hv,w_00,4,18,15.54686
DTLZ4,hv,w_00,4,19,15.54597
DTLZ3,s-energy,w_00,5,0,159353.3
DTLZ3,s-energy,w_00,5,1,2412138.0
DTLZ3,s-energy,w_00,5,2,81649.38
DTLZ3,s-energy,w_00,5,3,95384.62
DTLZ3,s-energy,w_00,5,4,128731.6
DTLZ3,s-energy,w_00,5,5,111019.0
DTLZ3,s-energy,w_00,5,6,86659.65
DTLZ3,s-energy,w_00,5,7,106845.7
DTLZ3,s-energy,w_00,5,8,129751.5
DTLZ3,s-energy,w_00,5,9,109219.4
DTLZ3,s-energy,w_00,5,10,112034.2
DTLZ3,s-energy,w_00,5,11,111521.1
DTLZ3,s-energy,w_00,5,12,139408.8
DTLZ3,s-energy,w_00,5,13,129696.4
DTLZ3,s-energy,w_00,5,14,111953.5
DTLZ3,s-energy,w_00,5,15,122943.7
DTLZ3,s-energy,w_00,5,16,99624.56
DTLZ3,s-energy,w_00,5,17,131563.9
DTLZ3,s-energy,w_00,5,18,170505.1
DTLZ3,s-energy,w_00,5,19,128730.5
DTLZ2,r2,w_00,3,0,1.366708
DTLZ2,r2,w_00,3,1,1.359491
DTLZ2,r2,w_00,3,2,1.348183
DTLZ2,r2,w_00,3,3,1.339196
DTLZ2,r2,w_00,3,4,1.397612
DTLZ2,r2,w_00,3,5,1.352737
DTLZ2,r2,w_00,3,6,1.375531
DTLZ2,r2,w_00,3,7,1.333528
DTLZ2,r2,w_00,3,8,1.348157
DTLZ2,r2,w_00,3,9,1.365459
DTLZ2,r2,w_00,3,10,1.357214
DTLZ2,r2,w_00,3,11,1.37813
DTLZ2,r2,w_00,3,12,1.36034
DTLZ2,r2,w_00,3,13,1.354677
DTLZ2,r2,w_00,3,14,1.353357
DTLZ2,r2,w_00,3,15,1.360597
DTLZ2,r2,w_00,3,16,1.320521
DTLZ2,r2,w_00,3,17,1.357131
DTLZ2,r2,w_00,3,18,1.360925
DTLZ2,r2,w_00,3,19,1.292588
WFG3,s-energy,w_00,3,0,58538.47
WFG3,s-energy,w_00,3,1,77915.73
WFG3,s-energy,w_00,3,2,65882.85
WFG3,s-energy,w_00,3,3,66350.79
WFG3,s-energy,w_00,3,4,82772.34
WFG3,s-energy,w_00,3,5,75110.0
WFG3,s-energy,w_00,3,6,68200.19
WFG3,s-energy,w_00,3,7,65956.6
WFG3,s-energy,w_00,3,8,68821.65
WFG3,s-energy,w_00,3,9,75004.26
WFG3,s-energy,w_00,3,10,73748.57
WFG3,s-energy,w_00,3,11,76308.15
WFG3,s-energy,w_00,3,12,68148.97
WFG3,s-energy,w_00,3,13,67637.73
WFG3,s-energy,w_00,3,14,65648.98
WFG3,s-energy,w_00,3,15,77265.36
WFG3,s-energy,w_00,3,16,85167.95
WFG3,s-energy,w_00,3,17,65129.22
WFG3,s-energy,w_00,3,18,76284.07
WFG3,s-energy,w_00,3,19,78045.22
DTLZ7,igd+,w_00,4,0,0.07821823
DTLZ7,igd+,w_00,4,1,0.07578077
DTLZ7,igd+,w_00,4,2,0.07477193
DTLZ7,igd+,w_00,4,3,0.1911715
DTLZ7,igd+,w_00,4,4,0.07508861
DTLZ7,igd+,w_00,4,5,0.07795061
DTLZ7,igd+,w_00,4,6,0.1919035
DTLZ7,igd+,w_00,4,7,0.0779995
DTLZ7,igd+,w_00,4,8,0.08240403
DTLZ7,igd+,w_00,4,9,0.08305009
DTLZ7,igd+,w_00,4,10,0.08186485
DTLZ7,igd+,w_00,4,11,0.07202007
DTLZ7,igd+,w_00,4,12,0.1931058
DTLZ7,igd+,w_00,4,13,0.07810194
DTLZ7,igd+,w_00,4,14,0.07704294
DTLZ7,igd+,w_00,4,15,0.0779348
DTLZ7,igd+,w_00,4,16,0.07655493
DTLZ7,igd+,w_00,4,17,0.07607099
DTLZ7,igd+,w_00,4,18,0.07756073
DTLZ7,igd+,w_00,4,19,0.07476411
WFG3,eps+,w_00,2,0,0.016647
WFG3,eps+,w_00,2,1,0.016008
WFG3,eps+,w_00,2,2,0.0169911
WFG3,eps+,w_00,2,3,0.0179697
WFG3,eps+,w_00,2,4,0.013686
WFG3,eps+,w_00,2,5,0.012879
WFG3,eps+,w_00,2,6,0.017043
WFG3,eps+,w_00,2,7,0.016829
WFG3,eps+,w_00,2,8,0.014031
WFG3,eps+,w_00,2,9,0.017507
WFG3,eps+,w_00,2,10,0.0196681
WFG3,eps+,w_00,2,11,0.018201
WFG3,eps+,w_00,2,12,0.011378
WFG3,eps+,w_00,2,13,0.019013
WFG3,eps+,w_00,2,14,0.015275
WFG3,eps+,w_00,2,15,0.016871
WFG3,eps+,w_00,2,16,0.016106
WFG3,eps+,w_00,2,17,0.019856
WFG3,eps+,w_00,2,18,0.01699
WFG3,eps+,w_00,2,19,0.0137386
DTLZ5,hv,w_00,7,0,30.92795
DTLZ5,hv,w_00,7,1,28.55735
DTLZ5,hv,w_00,7,2,16.31223
DTLZ5,hv,w_00,7,3,37.10145
DTLZ5,hv,w_00,7,4,45.52068
