problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.257213
WFG9,eps+,w_00,3,1,0.257773
WFG9,eps+,w_00,3,2,0.2663043
WFG9,eps+,w_00,3,3,0.2223403
WFG9,eps+,w_00,3,4,0.3031436
WFG9,eps+,w_00,3,5,0.214802
WFG9,eps+,w_00,3,6,0.3155661
WFG9,eps+,w_00,3,7,0.228105
WFG9,eps+,w_00,3,8,0.208243
WFG9,eps+,w_00,3,9,0.2142566
WFG8,r2,w_00,7,0,3665.851
WFG8,r2,w_00,7,1,3832.52
WFG8,r2,w_00,7,2,5062.702
WFG8,r2,w_00,7,3,3521.221
WFG8,r2,w_00,7,4,3569.89
WFG8,r2,w_00,7,5,4585.27
WFG8,r2,w_00,7,6,3609.348
WFG8,r2,w_00,7,7,4467.305
WFG8,r2,w_00,7,8,3818.015
WFG8,r2,w_00,7,9,5456.14
DTLZ4,hv,w_00,4,0,15.45324
DTLZ4,hv,w_00,4,1,14.72707
DTLZ4,hv,w_00,4,2,15.42748
DTLZ4,hv,w_00,4,3,12.32728
DTLZ4,hv,w_00,4,4,15.4493
DTLZ4,hv,w_00,4,5,15.43158
DTLZ4,hv,w_00,4,6,14.8207
DTLZ4,hv,w_00,4,7,15.51999
DTLZ4,hv,w_00,4,8,12.83684
DTLZ4,hv,w_00,4,9,12.83567
DTLZ3,s-energy,w_00,5,0,23070900.0
DTLZ3,s-energy,w_00,5,1,42906540.0
DTLZ3,s-energy,w_00,5,2,7372899000.0
DTLZ3,s-energy,w_00,5,3,703392700.0
DTLZ3,s-energy,w_00,5,4,115680600000.0
DTLZ3,s-energy,w_00,5,5,7721522000000.0
DTLZ3,s-energy,w_00,5,6,2e+20
DTLZ3,s-energy,w_00,5,7,28818010.0
DTLZ3,s-energy,w_00,5,8,173695500.0
DTLZ3,s-energy,w_00,5,9,5519074000.0
DTLZ2,r2,w_00,3,0,1.06658
DTLZ2,r2,w_00,3,1,1.049575
DTLZ2,r2,w_00,3,2,1.0749
DTLZ2,r2,w_00,3,3,1.070836
DTLZ2,r2,w_00,3,4,1.050388
DTLZ2,r2,w_00,3,5,1.104409
DTLZ2,r2,w_00,3,6,1.068175
DTLZ2,r2,w_00,3,7,1.114338
DTLZ2,r2,w_00,3,8,1.031193
DTLZ2,r2,w_00,3,9,1.129478
ZDT4,igd+,w_00,2,0,-nan 
ZDT4,igd+,w_00,2,1,-nan 
ZDT4,igd+,w_00,2,2,-nan 
ZDT4,igd+,w_00,2,3,-nan 
ZDT4,igd+,w_00,2,4,-nan 
ZDT4,igd+,w_00,2,5,-nan 
ZDT4,igd+,w_00,2,6,-nan 
ZDT4,igd+,w_00,2,7,-nan 
ZDT4,igd+,w_00,2,8,-nan 
ZDT4,igd+,w_00,2,9,-nan 
WFG3,s-energy,w_00,3,0,3152342.0
WFG3,s-energy,w_00,3,1,1931827000.0
WFG3,s-energy,w_00,3,2,527931.3
WFG3,s-energy,w_00,3,3,1044248.0
WFG3,s-energy,w_00,3,4,2623940.0
WFG3,s-energy,w_00,3,5,1080690.0
WFG3,s-energy,w_00,3,6,1620131.0
WFG3,s-energy,w_00,3,7,1508769.0
WFG3,s-energy,w_00,3,8,1229741.0
WFG3,s-energy,w_00,3,9,70913080.0
DTLZ7,igd+,w_00,4,0,0.0607973
DTLZ7,igd+,w_00,4,1,0.443231
DTLZ7,igd+,w_00,4,2,0.1727158
DTLZ7,igd+,w_00,4,3,0.06431069
DTLZ7,igd+,w_00,4,4,0.06304433
DTLZ7,igd+,w_00,4,5,0.06349613
DTLZ7,igd+,w_00,4,6,0.1727928
DTLZ7,igd+,w_00,4,7,0.062524
DTLZ7,igd+,w_00,4,8,0.1739294
DTLZ7,igd+,w_00,4,9,1.01353
WFG5,eps+,w_00,10,0,0.0
WFG5,eps+,w_00,10,1,6.9424e-310
WFG5,eps+,w_00,10,2,6.9424e-310
WFG5,eps+,w_00,10,3,6.9424e-310
WFG5,eps+,w_00,10,4,6.9424e-310
WFG5,eps+,w_00,10,5,6.9424e-310
WFG5,eps+,w_00,10,6,6.9424e-310
WFG5,eps+,w_00,10,7,6.9424e-310
WFG5,eps+,w_00,10,8,6.9424e-310
WFG5,eps+,w_00,10,9,6.9424e-310
WFG3,eps+,w_00,2,0,0.04175229
WFG3,eps+,w_00,2,1,0.021744
WFG3,eps+,w_00,2,2,0.03139252
WFG3,eps+,w_00,2,3,0.022564
WFG3,eps+,w_00,2,4,0.025746
WFG3,eps+,w_00,2,5,0.02356595
WFG3,eps+,w_00,2,6,0.026268
WFG3,eps+,w_00,2,7,0.015369
WFG3,eps+,w_00,2,8,0.02432927
WFG3,eps+,w_00,2,9,0.0246383
DTLZ5,hv,w_00,7,0,88.98553
DTLZ5,hv,w_00,7,1,90.01193
DTLZ5,hv,w_00,7,2,90.64371
DTLZ5,hv,w_00,7,3,89.69574
