problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.221069
WFG9,eps+,w_00,3,1,0.210753
WFG9,eps+,w_00,3,2,0.26594
WFG9,eps+,w_00,3,3,0.229474
WFG9,eps+,w_00,3,4,0.224156
WFG9,eps+,w_00,3,5,0.2339205
WFG9,eps+,w_00,3,6,0.257057
WFG9,eps+,w_00,3,7,0.24037
WFG9,eps+,w_00,3,8,0.22199
WFG9,eps+,w_00,3,9,0.216673
WFG9,eps+,w_00,3,10,0.212774
WFG9,eps+,w_00,3,11,0.278061
WFG9,eps+,w_00,3,12,0.230303
WFG9,eps+,w_00,3,13,0.213851
WFG9,eps+,w_00,3,14,0.243078
WFG9,eps+,w_00,3,15,0.219732
WFG9,eps+,w_00,3,16,0.254292
WFG9,eps+,w_00,3,17,0.2911519
WFG9,eps+,w_00,3,18,0.22505
WFG9,eps+,w_00,3,19,0.2217
WFG8,r2,w_00,7,0,2863.268
WFG8,r2,w_00,7,1,2582.612
WFG8,r2,w_00,7,2,2819.653
WFG8,r2,w_00,7,3,2730.936
WFG8,r2,w_00,7,4,2729.675
WFG8,r2,w_00,7,5,2673.694
WFG8,r2,w_00,7,6,2472.602
WFG8,r2,w_00,7,7,2835.745
WFG8,r2,w_00,7,8,2690.991
WFG8,r2,w_00,7,9,2619.619
WFG8,r2,w_00,7,10,2439.088
WFG8,r2,w_00,7,11,2829.291
WFG8,r2,w_00,7,12,2510.85
WFG8,r2,w_00,7,13,2344.256
WFG8,r2,w_00,7,14,2475.741
WFG8,r2,w_00,7,15,2258.883
WFG8,r2,w_00,7,16,2738.199
WFG8,r2,w_00,7,17,2701.252
WFG8,r2,w_00,7,18,2807.026
WFG8,r2,w_00,7,19,2519.829
DTLZ4,hv,w_00,4,0,12.83532
DTLZ4,hv,w_00,4,1,14.82032
DTLZ4,hv,w_00,4,2,14.8252
DTLZ4,hv,w_00,4,3,14.78351
DTLZ4,hv,w_00,4,4,15.5551
DTLZ4,hv,w_00,4,5,15.55837
DTLZ4,hv,w_00,4,6,15.54628
DTLZ4,hv,w_00,4,7,15.55576
DTLZ4,hv,w_00,4,8,14.82019
DTLZ4,hv,w_00,4,9,14.64337
DTLZ4,hv,w_00,4,10,14.82441
DTLZ4,hv,w_00,4,11,15.55131
DTLZ4,hv,w_00,4,12,14.80765
DTLZ4,hv,w_00,4,13,15.55099
DTLZ4,hv,w_00,4,14,14.80348
DTLZ4,hv,w_00,4,15,14.8062
DTLZ4,hv,w_00,4,16,14.83254
DTLZ4,hv,w_00,4,17,15.54041
DTLZ4,hv,w_00,4,18,14.83838
DTLZ4,hv,w_00,4,19,15.55162
DTLZ3,s-energy,w_00,5,0,2322646000000.0
DTLZ3,s-energy,w_00,5,1,80131.0
DTLZ3,s-energy,w_00,5,2,145444.8
DTLZ3,s-energy,w_00,5,3,140169.8
DTLZ3,s-energy,w_00,5,4,97458.51
DTLZ3,s-energy,w_00,5,5,125451.1
DTLZ3,s-energy,w_00,5,6,1881062.0
DTLZ3,s-energy,w_00,5,7,104422.7
DTLZ3,s-energy,w_00,5,8,119716.6
DTLZ3,s-energy,w_00,5,9,108412.4
DTLZ3,s-energy,w_00,5,10,84776.71
DTLZ3,s-energy,w_00,5,11,135493.1
DTLZ3,s-energy,w_00,5,12,97700.09
DTLZ3,s-energy,w_00,5,13,99767.22
DTLZ3,s-energy,w_00,5,14,2.007844e+18
DTLZ3,s-energy,w_00,5,15,135990.7
DTLZ3,s-energy,w_00,5,16,110541.6
DTLZ3,s-energy,w_00,5,17,128105.4
DTLZ3,s-energy,w_00,5,18,92665.75
DTLZ3,s-energy,w_00,5,19,119315.2
DTLZ2,r2,w_00,3,0,1.351944
DTLZ2,r2,w_00,3,1,1.400453
DTLZ2,r2,w_00,3,2,1.331345
DTLZ2,r2,w_00,3,3,1.370058
DTLZ2,r2,w_00,3,4,1.400116
DTLZ2,r2,w_00,3,5,1.345076
DTLZ2,r2,w_00,3,6,1.34296
DTLZ2,r2,w_00,3,7,1.361268
DTLZ2,r2,w_00,3,8,1.314283
DTLZ2,r2,w_00,3,9,1.362436
DTLZ2,r2,w_00,3,10,1.35012
DTLZ2,r2,w_00,3,11,1.317828
DTLZ2,r2,w_00,3,12,1.353017
DTLZ2,r2,w_00,3,13,1.322903
DTLZ2,r2,w_00,3,14,1.355942
DTLZ2,r2,w_00,3,15,1.34936
DTLZ2,r2,w_00,3,16,1.367318
DTLZ2,r2,w_00,3,17,1.337956
DTLZ2,r2,w_00,3,18,1.367002
DTLZ2,r2,w_00,3,19,1.374041
WFG3,s-energy,w_00,3,0,64552.54
WFG3,s-energy,w_00,3,1,68751.25
WFG3,s-energy,w_00,3,2,74682.35
WFG3,s-energy,w_00,3,3,70571.39
WFG3,s-energy,w_00,3,4,77695.97
WFG3,s-energy,w_00,3,5,64407.72
WFG3,s-energy,w_00,3,6,75819.98
WFG3,s-energy,w_00,3,7,71565.01
WFG3,s-energy,w_00,3,8,79653.01
WFG3,s-energy,w_00,3,9,76258.37
WFG3,s-energy,w_00,3,10,66949.27
WFG3,s-energy,w_00,3,11,69247.31
WFG3,s-energy,w_00,3,12,69162.97
WFG3,s-energy,w_00,3,13,68766.88
WFG3,s-energy,w_00,3,14,73777.23
WFG3,s-energy,w_00,3,15,64854.93
WFG3,s-energy,w_00,3,16,80119.71
WFG3,s-energy,w_00,3,17,78113.64
WFG3,s-energy,w_00,3,18,74989.61
WFG3,s-energy,w_00,3,19,68450.65
DTLZ7,igd+,w_00,4,0,0.07276697
DTLZ7,igd+,w_00,4,1,0.184379
DTLZ7,igd+,w_00,4,2,0.1858809
DTLZ7,igd+,w_00,4,3,0.1876305
DTLZ7,igd+,w_00,4,4,0.0724186
DTLZ7,igd+,w_00,4,5,0.07363984
DTLZ7,igd+,w_00,4,6,0.07208641
DTLZ7,igd+,w_00,4,7,0.07458314
DTLZ7,igd+,w_00,4,8,0.07396965
DTLZ7,igd+,w_00,4,9,0.07133266
DTLZ7,igd+,w_00,4,10,0.07532092
DTLZ7,igd+,w_00,4,11,0.07407363
DTLZ7,igd+,w_00,4,12,0.07575682
DTLZ7,igd+,w_00,4,13,0.07197358
DTLZ7,igd+,w_00,4,14,0.07267389
DTLZ7,igd+,w_00,4,15,0.07083394
DTLZ7,igd+,w_00,4,16,0.0731287
DTLZ7,igd+,w_00,4,17,0.432981
DTLZ7,igd+,w_00,4,18,0.0753228
DTLZ7,igd+,w_00,4,19,0.07729624
WFG3,eps+,w_00,2,0,0.019804
WFG3,eps+,w_00,2,1,0.017565
WFG3,eps+,w_00,2,2,0.0189869
WFG3,eps+,w_00,2,3,0.018513
WFG3,eps+,w_00,2,4,0.013681
WFG3,eps+,w_00,2,5,0.018393
WFG3,eps+,w_00,2,6,0.0121981
WFG3,eps+,w_00,2,7,0.0125879
WFG3,eps+,w_00,2,8,0.0182388
WFG3,eps+,w_00,2,9,0.016566
WFG3,eps+,w_00,2,10,0.017931
WFG3,eps+,w_00,2,11,0.014984
WFG3,eps+,w_00,2,12,0.014693
WFG3,eps+,w_00,2,13,0.0143444
WFG3,eps+,w_00,2,14,0.0166
WFG3,eps+,w_00,2,15,0.0252499
WFG3,eps+,w_00,2,16,0.016228
WFG3,eps+,w_00,2,17,0.014764
WFG3,eps+,w_00,2,18,0.014455
WFG3,eps+,w_00,2,19,0.016152
DTLZ5,hv,w_00,7,0,71.60049
DTLZ5,hv,w_00,7,1,63.77774
DTLZ5,hv,w_00,7,2,47.8757
DTLZ5,hv,w_00,7,3,58.15051
DTLZ5,hv,w_00,7,4,66.29178
DTLZ5,hv,w_00,7,5,64.83299
DTLZ5,hv,w_00,7,6,66.43003
DTLZ5,hv,w_00,7,7,54.21356
DTLZ5,hv,w_00,7,8,64.14506
DTLZ5,hv,w_00,7,9,31.21543
DTLZ5,hv,w_00,7,10,68.41038
DTLZ5,hv,w_00,7,11,75.32127
DTLZ5,hv,w_00,7,12,48.85223
DTLZ5,hv,w_00,7,13,51.11039
DTLZ5,hv,w_00,7,14,65.62775
DTLZ5,hv,w_00,7,15,85.05611
DTLZ5,hv,w_00,7,16,70.37111
DTLZ5,hv,w_00,7,17,59.62097
DTLZ5,hv,w_00,7,18,73.09952
DTLZ5,hv,w_00,7,19,70.20326
DTLZ6,s-energy,w_00,2,0,2262519.0
DTLZ6,s-energy,w_00,2,1,2304114.0
DTLZ6,s-energy,w_00,2,2,2240851.0
DTLZ6,s-energy,w_00,2,3,2283801.0
DTLZ6,s-energy,w_00,2,4,2282715.0
DTLZ6,s-energy,w_00,2,5,2303249.0
DTLZ6,s-energy,w_00,2,6,2287615.0
DTLZ6,s-energy,w_00,2,7,2283480.0
DTLZ6,s-energy,w_00,2,8,2272234.0
DTLZ6,s-energy,w_00,2,9,2296057.0
DTLZ6,s-energy,w_00,2,10,2258043.0
DTLZ6,s-energy,w_00,2,11,2301972.0
DTLZ6,s-energy,w_00,2,12,2298575.0
DTLZ6,s-energy,w_00,2,13,2277192.0
DTLZ6,s-energy,w_00,2,14,2300175.0
DTLZ6,s-energy,w_00,2,15,2244034.0
DTLZ6,s-energy,w_00,2,16,2227129.0
DTLZ6,s-energy,w_00,2,17,2293736.0
DTLZ6,s-energy,w_00,2,18,2268215.0
DTLZ6,s-energy,w_00,2,19,2256450.0
DTLZ7,r2,w_00,2,0,1443.03
DTLZ7,r2,w_00,2,1,1443.207
DTLZ7,r2,w_00,2,2,1443.169
DTLZ7,r2,w_00,2,3,1443.17
DTLZ7,r2,w_00,2,4,1443.185
DTLZ7,r2,w_00,2,5,1443.139
DTLZ7,r2,w_00,2,6,1443.131
DTLZ7,r2,w_00,2,7,1443.236
DTLZ7,r2,w_00,2,8,1442.819
DTLZ7,r2,w_00,2,9,1443.147
DTLZ7,r2,w_00,2,10,1443.127
DTLZ7,r2,w_00,2,11,1443.164
DTLZ7,r2,w_00,2,12,1443.153
DTLZ7,r2,w_00,2,13,1443.174
DTLZ7,r2,w_00,2,14,1443.151
DTLZ7,r2,w_00,2,15,1443.165
DTLZ7,r2,w_00,2,16,1443.169
DTLZ7,r2,w_00,2,17,1443.214
DTLZ7,r2,w_00,2,18,1443.162
DTLZ7,r2,w_00,2,19,1443.142
DTLZ3,r2,w_00,2,0,1.005859
DTLZ3,r2,w_00,2,1,1.005586
DTLZ3,r2,w_00,2,2,1.001796
DTLZ3,r2,w_00,2,3,1.00555
DTLZ3,r2,w_00,2,4,1.008106
DTLZ3,r2,w_00,2,5,1.007922
DTLZ3,r2,w_00,2,6,1.007388
DTLZ3,r2,w_00,2,7,1.003697
DTLZ3,r2,w_00,2,8,1.00909
DTLZ3,r2,w_00,2,9,1.005723
DTLZ3,r2,w_00,2,10,1.004127
DTLZ3,r2,w_00,2,11,1.003641
DTLZ3,r2,w_00,2,12,1.008772
DTLZ3,r2,w_00,2,13,1.007904
DTLZ3,r2,w_00,2,14,1.003584
DTLZ3,r2,w_00,2,15,1.002581
DTLZ3,r2,w_00,2,16,1.006909
DTLZ3,r2,w_00,2,17,1.006447
DTLZ3,r2,w_00,2,18,1.003405
DTLZ3,r2,w_00,2,19,1.009603
WFG4,spd,w_00,6,0,119.9996
WFG4,spd,w_00,6,1,119.9994
WFG4,spd,w_00,6,2,119.9996
WFG4,spd,w_00,6,3,119.9997
WFG4,spd,w_00,6,4,119.9994
WFG4,spd,w_00,6,5,119.9996
WFG4,spd,w_00,6,6,119.9995
WFG4,spd,w_00,6,7,119.9996
WFG4,spd,w_00,6,8,119.9997
WFG4,spd,w_00,6,9,119.9981
WFG4,spd,w_00,6,10,119.9999
WFG4,spd,w_00,6,11,119.9998
WFG4,spd,w_00,6,12,119.9995
WFG4,spd,w_00,6,13,119.9996
WFG4,spd,w_00,6,14,119.9997
WFG4,spd,w_00,6,15,119.9998
WFG4,spd,w_00,6,16,119.9991
WFG4,spd,w_00,6,17,119.9995
WFG4,spd,w_00,6,18,119.9997
WFG4,spd,w_00,6,19,119.9993
WFG4,hv,w_00,7,0,1784341.0
WFG4,hv,w_00,7,1,1750928.0
WFG4,hv,w_00,7,2,1774248.0
WFG4,hv,w_00,7,3,1776357.0
WFG4,hv,w_00,7,4,1754813.0
WFG4,hv,w_00,7,5,1820674.0
WFG4,hv,w_00,7,6,1746731.0
WFG4,hv,w_00,7,7,1794562.0
WFG4,hv,w_00,7,8,1773022.0
WFG4,hv,w_00,7,9,1721906.0
WFG4,hv,w_00,7,10,1800503.0
WFG4,hv,w_00,7,11,1767513.0
WFG4,hv,w_00,7,12,1746969.0
WFG4,hv,w_00,7,13,1765715.0
WFG4,hv,w_00,7,14,1820392.0
WFG4,hv,w_00,7,15,1764173.0
WFG4,hv,w_00,7,16,1753487.0
WFG4,hv,w_00,7,17,1747761.0
WFG4,hv,w_00,7,18,1761453.0
WFG4,hv,w_00,7,19,1772020.0
WFG1,igd+,w_00,2,0,0.8781989
WFG1,igd+,w_00,2,1,0.8887904
WFG1,igd+,w_00,2,2,0.9000914
WFG1,igd+,w_00,2,3,0.8851934
WFG1,igd+,w_00,2,4,0.863927
WFG1,igd+,w_00,2,5,0.871906
WFG1,igd+,w_00,2,6,0.8891906
WFG1,igd+,w_00,2,7,0.8990855
WFG1,igd+,w_00,2,8,0.8817467
WFG1,igd+,w_00,2,9,0.8977739
WFG1,igd+,w_00,2,10,0.8635073
WFG1,igd+,w_00,2,11,0.8890743
WFG1,igd+,w_00,2,12,0.8664714
WFG1,igd+,w_00,2,13,0.8946215
WFG1,igd+,w_00,2,14,0.8806932
WFG1,igd+,w_00,2,15,0.8580387
WFG1,igd+,w_00,2,16,0.8743316
WFG1,igd+,w_00,2,17,0.8829235
WFG1,igd+,w_00,2,18,0.9141518
WFG1,igd+,w_00,2,19,0.9018126
DTLZ5,hv,w_00,4,0,11.70019
DTLZ5,hv,w_00,4,1,11.74157
DTLZ5,hv,w_00,4,2,11.78359
DTLZ5,hv,w_00,4,3,11.68229
DTLZ5,hv,w_00,4,4,11.72535
DTLZ5,hv,w_00,4,5,11.74275
DTLZ5,hv,w_00,4,6,11.738
DTLZ5,hv,w_00,4,7,11.76885
DTLZ5,hv,w_00,4,8,11.79158
DTLZ5,hv,w_00,4,9,11.73366
DTLZ5,hv,w_00,4,10,11.80274
DTLZ5,hv,w_00,4,11,11.71772
DTLZ5,hv,w_00,4,12,11.77098
DTLZ5,hv,w_00,4,13,11.74218
DTLZ5,hv,w_00,4,14,11.73476
DTLZ5,hv,w_00,4,15,11.65389
DTLZ5,hv,w_00,4,16,11.69518
DTLZ5,hv,w_00,4,17,11.7234
DTLZ5,hv,w_00,4,18,11.7895
DTLZ5,hv,w_00,4,19,11.7358
WFG7,r2,w_00,3,0,6.716683
WFG7,r2,w_00,3,1,6.586157
WFG7,r2,w_00,3,2,6.425326
WFG7,r2,w_00,3,3,16.50864
WFG7,r2,w_00,3,4,6.448544
WFG7,r2,w_00,3,5,7.060961
WFG7,r2,w_00,3,6,6.475486
WFG7,r2,w_00,3,7,9.473497
WFG7,r2,w_00,3,8,6.472419
WFG7,r2,w_00,3,9,6.569688
WFG7,r2,w_00,3,10,6.824887
WFG7,r2,w_00,3,11,6.396635
WFG7,r2,w_00,3,12,6.300827
WFG7,r2,w_00,3,13,7.14723
WFG7,r2,w_00,3,14,6.335644
WFG7,r2,w_00,3,15,6.555977
WFG7,r2,w_00,3,16,8.377181
WFG7,r2,w_00,3,17,6.470355
WFG7,r2,w_00,3,18,6.050688
WFG7,r2,w_00,3,19,7.10351
DTLZ7,spd,w_00,6,0,119.3412
DTLZ7,spd,w_00,6,1,119.1928
DTLZ7,spd,w_00,6,2,119.0792
DTLZ7,spd,w_00,6,3,119.0957
DTLZ7,spd,w_00,6,4,119.4096
DTLZ7,spd,w_00,6,5,119.039
DTLZ7,spd,w_00,6,6,119.2543
DTLZ7,spd,w_00,6,7,119.2386
DTLZ7,spd,w_00,6,8,119.1019
DTLZ7,spd,w_00,6,9,119.21
DTLZ7,spd,w_00,6,10,119.2228
DTLZ7,spd,w_00,6,11,119.2259
DTLZ7,spd,w_00,6,12,119.1907
DTLZ7,spd,w_00,6,13,119.2078
DTLZ7,spd,w_00,6,14,119.2344
DTLZ7,spd,w_00,6,15,119.1215
DTLZ7,spd,w_00,6,16,119.0475
DTLZ7,spd,w_00,6,17,119.1477
DTLZ7,spd,w_00,6,18,119.1396
DTLZ7,spd,w_00,6,19,119.2721
DTLZ5,r2,w_00,7,0,977.7217
DTLZ5,r2,w_00,7,1,1015.99
DTLZ5,r2,w_00,7,2,1165.149
DTLZ5,r2,w_00,7,3,1043.328
DTLZ5,r2,w_00,7,4,1012.352
DTLZ5,r2,w_00,7,5,974.2403
DTLZ5,r2,w_00,7,6,918.2078
DTLZ5,r2,w_00,7,7,1021.512
DTLZ5,r2,w_00,7,8,1002.646
DTLZ5,r2,w_00,7,9,1066.839
DTLZ5,r2,w_00,7,10,969.6467
DTLZ5,r2,w_00,7,11,940.5196
DTLZ5,r2,w_00,7,12,1310.341
DTLZ5,r2,w_00,7,13,1156.103
DTLZ5,r2,w_00,7,14,1093.994
DTLZ5,r2,w_00,7,15,1027.047
DTLZ5,r2,w_00,7,16,999.8892
DTLZ5,r2,w_00,7,17,1179.205
DTLZ5,r2,w_00,7,18,965.0075
DTLZ5,r2,w_00,7,19,981.0916
WFG8,igd,w_00,3,0,0.2303937
WFG8,igd,w_00,3,1,0.2314799
WFG8,igd,w_00,3,2,0.2302392
WFG8,igd,w_00,3,3,0.2340165
WFG8,igd,w_00,3,4,0.2350028
WFG8,igd,w_00,3,5,0.2357093
WFG8,igd,w_00,3,6,0.2310946
WFG8,igd,w_00,3,7,0.2386627
WFG8,igd,w_00,3,8,0.2321916
WFG8,igd,w_00,3,9,0.2252551
WFG8,igd,w_00,3,10,0.2263062
WFG8,igd,w_00,3,11,0.2338667
WFG8,igd,w_00,3,12,0.2288586
WFG8,igd,w_00,3,13,0.2295988
WFG8,igd,w_00,3,14,0.2290994
WFG8,igd,w_00,3,15,0.232895
WFG8,igd,w_00,3,16,0.236801
WFG8,igd,w_00,3,17,0.2372063
WFG8,igd,w_00,3,18,0.2352555
WFG8,igd,w_00,3,19,0.2297936
DTLZ2,eps+,w_00,2,0,0.0047509
DTLZ2,eps+,w_00,2,1,0.0056604
DTLZ2,eps+,w_00,2,2,0.0065755
DTLZ2,eps+,w_00,2,3,0.0048356
DTLZ2,eps+,w_00,2,4,0.0052144
DTLZ2,eps+,w_00,2,5,0.0049942
DTLZ2,eps+,w_00,2,6,0.0055421
DTLZ2,eps+,w_00,2,7,0.0048079
DTLZ2,eps+,w_00,2,8,0.0048191
DTLZ2,eps+,w_00,2,9,0.0047669
DTLZ2,eps+,w_00,2,10,0.0049852
DTLZ2,eps+,w_00,2,11,0.0047716
DTLZ2,eps+,w_00,2,12,0.0051942
DTLZ2,eps+,w_00,2,13,0.0058011
DTLZ2,eps+,w_00,2,14,0.0047906
DTLZ2,eps+,w_00,2,15,0.0048946
DTLZ2,eps+,w_00,2,16,0.004971
DTLZ2,eps+,w_00,2,17,0.0047103
DTLZ2,eps+,w_00,2,18,0.0051036
DTLZ2,eps+,w_00,2,19,0.0059811
WFG4,hv,w_00,3,0,75.81097
WFG4,hv,w_00,3,1,75.93586
WFG4,hv,w_00,3,2,76.10037
WFG4,hv,w_00,3,3,75.98982
WFG4,hv,w_00,3,4,75.94261
WFG4,hv,w_00,3,5,76.1027
WFG4,hv,w_00,3,6,76.02116
WFG4,hv,w_00,3,7,75.93498
WFG4,hv,w_00,3,8,75.95247
WFG4,hv,w_00,3,9,76.04145
WFG4,hv,w_00,3,10,75.92967
WFG4,hv,w_00,3,11,76.18102
WFG4,hv,w_00,3,12,76.08457
WFG4,hv,w_00,3,13,76.23845
WFG4,hv,w_00,3,14,76.09933
WFG4,hv,w_00,3,15,76.12391
WFG4,hv,w_00,3,16,76.47966
WFG4,hv,w_00,3,17,75.8715
WFG4,hv,w_00,3,18,75.97626
WFG4,hv,w_00,3,19,76.01061
DTLZ5,spd,w_00,7,0,119.9221
DTLZ5,spd,w_00,7,1,119.9887
DTLZ5,spd,w_00,7,2,119.9935
DTLZ5,spd,w_00,7,3,119.9148
DTLZ5,spd,w_00,7,4,119.9655
DTLZ5,spd,w_00,7,5,119.99
DTLZ5,spd,w_00,7,6,119.8321
DTLZ5,spd,w_00,7,7,119.9852
DTLZ5,spd,w_00,7,8,119.9829
DTLZ5,spd,w_00,7,9,119.9964
DTLZ5,spd,w_00,7,10,119.9788
DTLZ5,spd,w_00,7,11,119.9649
DTLZ5,spd,w_00,7,12,119.9934
DTLZ5,spd,w_00,7,13,119.9877
DTLZ5,spd,w_00,7,14,119.9731
DTLZ5,spd,w_00,7,15,103.2969
DTLZ5,spd,w_00,7,16,119.9752
DTLZ5,spd,w_00,7,17,119.9756
DTLZ5,spd,w_00,7,18,119.9615
DTLZ5,spd,w_00,7,19,119.9326
WFG4,spd,w_00,5,0,119.9888
WFG4,spd,w_00,5,1,119.9878
WFG4,spd,w_00,5,2,119.9902
WFG4,spd,w_00,5,3,119.9921
WFG4,spd,w_00,5,4,119.9943
WFG4,spd,w_00,5,5,119.9945
WFG4,spd,w_00,5,6,119.995
WFG4,spd,w_00,5,7,119.989
WFG4,spd,w_00,5,8,119.9903
WFG4,spd,w_00,5,9,119.9859
WFG4,spd,w_00,5,10,119.9918
WFG4,spd,w_00,5,11,119.9907
WFG4,spd,w_00,5,12,119.9871
WFG4,spd,w_00,5,13,119.9892
WFG4,spd,w_00,5,14,119.987
WFG4,spd,w_00,5,15,119.991
WFG4,spd,w_00,5,16,119.9934
WFG4,spd,w_00,5,17,119.9908
WFG4,spd,w_00,5,18,119.9936
WFG4,spd,w_00,5,19,119.9854
WFG7,igd,w_00,3,0,0.2204384
WFG7,igd,w_00,3,1,0.2147214
WFG7,igd,w_00,3,2,0.2151713
WFG7,igd,w_00,3,3,0.2229452
WFG7,igd,w_00,3,4,0.2205766
WFG7,igd,w_00,3,5,0.2179779
WFG7,igd,w_00,3,6,0.214901
WFG7,igd,w_00,3,7,0.2215731
WFG7,igd,w_00,3,8,0.2188386
WFG7,igd,w_00,3,9,0.2174333
WFG7,igd,w_00,3,10,0.2186928
WFG7,igd,w_00,3,11,0.2138316
WFG7,igd,w_00,3,12,0.215379
WFG7,igd,w_00,3,13,0.2200004
WFG7,igd,w_00,3,14,0.218217
WFG7,igd,w_00,3,15,0.2108185
WFG7,igd,w_00,3,16,0.2241065
WFG7,igd,w_00,3,17,0.215965
WFG7,igd,w_00,3,18,0.2145115
WFG7,igd,w_00,3,19,0.2100513
DTLZ3,s-energy,w_00,6,0,62936.99
DTLZ3,s-energy,w_00,6,1,603392400000.0
DTLZ3,s-energy,w_00,6,2,110761.0
DTLZ3,s-energy,w_00,6,3,15681870.0
DTLZ3,s-energy,w_00,6,4,174.396
DTLZ3,s-energy,w_00,6,5,1.814457e+19
DTLZ3,s-energy,w_00,6,6,61710.37
DTLZ3,s-energy,w_00,6,7,126128.4
DTLZ3,s-energy,w_00,6,8,55026470000.0
DTLZ3,s-energy,w_00,6,9,95863.21
DTLZ3,s-energy,w_00,6,10,52068070000000.0
DTLZ3,s-energy,w_00,6,11,598316000000.0
DTLZ3,s-energy,w_00,6,12,382711600.0
DTLZ3,s-energy,w_00,6,13,7.274443e+21
DTLZ3,s-energy,w_00,6,14,60563.63
DTLZ3,s-energy,w_00,6,15,6.917705
DTLZ3,s-energy,w_00,6,16,116322.4
DTLZ3,s-energy,w_00,6,17,80360.82
DTLZ3,s-energy,w_00,6,18,85742.34
DTLZ3,s-energy,w_00,6,19,162678.8
WFG6,igd,w_00,5,0,1.772153
WFG6,igd,w_00,5,1,1.755002
