problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.195384
WFG9,eps+,w_00,3,1,0.194313
WFG9,eps+,w_00,3,2,0.222377
WFG9,eps+,w_00,3,3,0.172924
WFG9,eps+,w_00,3,4,0.20099
WFG9,eps+,w_00,3,5,0.210275
WFG9,eps+,w_00,3,6,0.201868
WFG9,eps+,w_00,3,7,0.207266
WFG9,eps+,w_00,3,8,0.216806
WFG9,eps+,w_00,3,9,0.220804
WFG8,r2,w_00,7,0,3046.255
WFG8,r2,w_00,7,1,2818.667
WFG8,r2,w_00,7,2,2592.592
WFG8,r2,w_00,7,3,2829.655
WFG8,r2,w_00,7,4,3060.506
WFG8,r2,w_00,7,5,2954.156
WFG8,r2,w_00,7,6,2713.313
WFG8,r2,w_00,7,7,2832.794
WFG8,r2,w_00,7,8,3357.862
WFG8,r2,w_00,7,9,3240.68
DTLZ4,hv,w_00,4,0,15.52786
DTLZ4,hv,w_00,4,1,15.5168
DTLZ4,hv,w_00,4,2,15.54747
DTLZ4,hv,w_00,4,3,12.32728
DTLZ4,hv,w_00,4,4,15.55412
DTLZ4,hv,w_00,4,5,15.52785
DTLZ4,hv,w_00,4,6,14.8207
DTLZ4,hv,w_00,4,7,14.81038
DTLZ4,hv,w_00,4,8,12.83684
DTLZ4,hv,w_00,4,9,14.79438
DTLZ3,s-energy,w_00,5,0,1728253000.0
DTLZ3,s-energy,w_00,5,1,132507400000.0
DTLZ3,s-energy,w_00,5,2,343001900000.0
DTLZ3,s-energy,w_00,5,3,5197494000.0
DTLZ3,s-energy,w_00,5,4,42483460000.0
DTLZ3,s-energy,w_00,5,5,188815500000.0
DTLZ3,s-energy,w_00,5,6,156426600.0
DTLZ3,s-energy,w_00,5,7,1528487000.0
DTLZ3,s-energy,w_00,5,8,33899750000.0
DTLZ3,s-energy,w_00,5,9,2096720000.0
DTLZ2,r2,w_00,3,0,1.342585
DTLZ2,r2,w_00,3,1,1.337962
DTLZ2,r2,w_00,3,2,1.347899
DTLZ2,r2,w_00,3,3,1.323117
DTLZ2,r2,w_00,3,4,1.360244
DTLZ2,r2,w_00,3,5,1.381578
DTLZ2,r2,w_00,3,6,1.333894
DTLZ2,r2,w_00,3,7,1.317035
DTLZ2,r2,w_00,3,8,1.321703
DTLZ2,r2,w_00,3,9,1.334402
WFG3,s-energy,w_00,3,0,2479776.0
WFG3,s-energy,w_00,3,1,2020677.0
WFG3,s-energy,w_00,3,2,461561.5
WFG3,s-energy,w_00,3,3,43626800.0
WFG3,s-energy,w_00,3,4,864913.9
WFG3,s-energy,w_00,3,5,2219909.0
WFG3,s-energy,w_00,3,6,3138229.0
WFG3,s-energy,w_00,3,7,656714.5
WFG3,s-energy,w_00,3,8,409341.8
WFG3,s-energy,w_00,3,9,2402594.0
DTLZ7,igd+,w_00,4,0,0.0585534
DTLZ7,igd+,w_00,4,1,0.05884982
DTLZ7,igd+,w_00,4,2,0.1813517
DTLZ7,igd+,w_00,4,3,0.06121503
DTLZ7,igd+,w_00,4,4,0.4566331
DTLZ7,igd+,w_00,4,5,0.1786631
DTLZ7,igd+,w_00,4,6,0.06092613
DTLZ7,igd+,w_00,4,7,0.06296624
DTLZ7,igd+,w_00,4,8,0.06003501
DTLZ7,igd+,w_00,4,9,0.06019505
WFG3,eps+,w_00,2,0,0.022406
WFG3,eps+,w_00,2,1,0.0152221
WFG3,eps+,w_00,2,2,0.02036
WFG3,eps+,w_00,2,3,0.0189966
WFG3,eps+,w_00,2,4,0.0180091
WFG3,eps+,w_00,2,5,0.0142251
WFG3,eps+,w_00,2,6,0.012785
WFG3,eps+,w_00,2,7,0.014992
WFG3,eps+,w_00,2,8,0.018001
WFG3,eps+,w_00,2,9,0.013753
DTLZ5,hv,w_00,7,0,65.87924
DTLZ5,hv,w_00,7,1,69.86024
DTLZ5,hv,w_00,7,2,71.0217
DTLZ5,hv,w_00,7,3,84.49695
DTLZ5,hv,w_00,7,4,71.90509
DTLZ5,hv,w_00,7,5,84.51864
DTLZ5,hv,w_00,7,6,76.21957
DTLZ5,hv,w_00,7,7,62.28632
DTLZ5,hv,w_00,7,8,76.47633
DTLZ5,hv,w_00,7,9,85.7824
DTLZ6,s-energy,w_00,2,0,2499913.0
DTLZ6,s-energy,w_00,2,1,2498605.0
DTLZ6,s-energy,w_00,2,2,2498160.0
DTLZ6,s-energy,w_00,2,3,2498757.0
DTLZ6,s-energy,w_00,2,4,2498334.0
DTLZ6,s-energy,w_00,2,5,2497865.0
DTLZ6,s-energy,w_00,2,6,2499716.0
DTLZ6,s-energy,w_00,2,7,2499288.0
DTLZ6,s-energy,w_00,2,8,2497885.0
DTLZ6,s-energy,w_00,2,9,2498696.0
DTLZ7,r2,w_00,2,0,1443.231
DTLZ7,r2,w_00,2,1,1443.336
DTLZ7,r2,w_00,2,2,1443.239
DTLZ7,r2,w_00,2,3,1443.245
DTLZ7,r2,w_00,2,4,1443.255
DTLZ7,r2,w_00,2,5,1443.169
DTLZ7,r2,w_00,2,6,1443.156
DTLZ7,r2,w_00,2,7,1443.245
DTLZ7,r2,w_00,2,8,1443.247
DTLZ7,r2,w_00,2,9,1443.249
DTLZ3,r2,w_00,2,0,1.003374
DTLZ3,r2,w_00,2,1,1.012585
DTLZ3,r2,w_00,2,2,1.006155
DTLZ3,r2,w_00,2,3,1.008691
DTLZ3,r2,w_00,2,4,1.001696
DTLZ3,r2,w_00,2,5,1.002774
DTLZ3,r2,w_00,2,6,1.002505
DTLZ3,r2,w_00,2,7,1.009217
DTLZ3,r2,w_00,2,8,1.001721
DTLZ3,r2,w_00,2,9,1.009896
WFG4,spd,w_00,6,0,119.9684
WFG4,spd,w_00,6,1,119.9854
WFG4,spd,w_00,6,2,119.8986
WFG4,spd,w_00,6,3,119.2198
WFG4,spd,w_00,6,4,119.986
WFG4,spd,w_00,6,5,119.9909
WFG4,spd,w_00,6,6,119.9747
WFG4,spd,w_00,6,7,119.0266
WFG4,spd,w_00,6,8,119.943
WFG4,spd,w_00,6,9,119.9915
WFG4,hv,w_00,7,0,1836951.0
WFG4,hv,w_00,7,1,1834202.0
WFG4,hv,w_00,7,2,1826458.0
WFG4,hv,w_00,7,3,1828573.0
WFG4,hv,w_00,7,4,1842078.0
WFG4,hv,w_00,7,5,1837843.0
WFG4,hv,w_00,7,6,1811756.0
WFG4,hv,w_00,7,7,1819092.0
WFG4,hv,w_00,7,8,1826125.0
WFG4,hv,w_00,7,9,1834337.0
WFG1,igd+,w_00,2,0,0.9164724
WFG1,igd+,w_00,2,1,0.9005449
WFG1,igd+,w_00,2,2,0.8705898
WFG1,igd+,w_00,2,3,0.9007331
WFG1,igd+,w_00,2,4,0.8834977
WFG1,igd+,w_00,2,5,0.9049189
WFG1,igd+,w_00,2,6,0.9166476
WFG1,igd+,w_00,2,7,0.8849173
WFG1,igd+,w_00,2,8,0.904197
WFG1,igd+,w_00,2,9,0.8840997
DTLZ5,hv,w_00,4,0,11.79683
DTLZ5,hv,w_00,4,1,11.82913
DTLZ5,hv,w_00,4,2,11.77595
DTLZ5,hv,w_00,4,3,11.71852
DTLZ5,hv,w_00,4,4,11.76675
DTLZ5,hv,w_00,4,5,11.81612
DTLZ5,hv,w_00,4,6,11.7991
DTLZ5,hv,w_00,4,7,11.78541
DTLZ5,hv,w_00,4,8,11.7586
DTLZ5,hv,w_00,4,9,11.81364
WFG7,r2,w_00,3,0,5.468981
WFG7,r2,w_00,3,1,5.882751
WFG7,r2,w_00,3,2,5.526997
WFG7,r2,w_00,3,3,5.843158
WFG7,r2,w_00,3,4,5.457567
WFG7,r2,w_00,3,5,5.409389
WFG7,r2,w_00,3,6,5.556995
WFG7,r2,w_00,3,7,5.409982
WFG7,r2,w_00,3,8,5.594734
WFG7,r2,w_00,3,9,5.430964
DTLZ7,spd,w_00,6,0,115.0313
DTLZ7,spd,w_00,6,1,114.6023
DTLZ7,spd,w_00,6,2,116.0284
DTLZ7,spd,w_00,6,3,114.8999
DTLZ7,spd,w_00,6,4,114.6131
DTLZ7,spd,w_00,6,5,115.2023
DTLZ7,spd,w_00,6,6,115.1319
DTLZ7,spd,w_00,6,7,114.9642
DTLZ7,spd,w_00,6,8,114.8677
DTLZ7,spd,w_00,6,9,114.9776
DTLZ5,r2,w_00,7,0,982.4754
DTLZ5,r2,w_00,7,1,1031.597
DTLZ5,r2,w_00,7,2,996.3495
DTLZ5,r2,w_00,7,3,1047.839
DTLZ5,r2,w_00,7,4,1086.249
DTLZ5,r2,w_00,7,5,1046.433
DTLZ5,r2,w_00,7,6,956.2218
DTLZ5,r2,w_00,7,7,1039.544
DTLZ5,r2,w_00,7,8,957.811
DTLZ5,r2,w_00,7,9,1038.789
WFG8,igd,w_00,3,0,0.2373633
WFG8,igd,w_00,3,1,0.2300582
WFG8,igd,w_00,3,2,0.2309765
WFG8,igd,w_00,3,3,0.2278468
WFG8,igd,w_00,3,4,0.2355103
WFG8,igd,w_00,3,5,0.2307871
WFG8,igd,w_00,3,6,0.2256686
WFG8,igd,w_00,3,7,0.2239741
WFG8,igd,w_00,3,8,0.2306674
WFG8,igd,w_00,3,9,0.2265279
DTLZ2,eps+,w_00,2,0,0.0057636
DTLZ2,eps+,w_00,2,1,0.0059378
DTLZ2,eps+,w_00,2,2,0.005859
DTLZ2,eps+,w_00,2,3,0.0056514
DTLZ2,eps+,w_00,2,4,0.0057076
DTLZ2,eps+,w_00,2,5,0.0056624
DTLZ2,eps+,w_00,2,6,0.0057358
DTLZ2,eps+,w_00,2,7,0.0056683
DTLZ2,eps+,w_00,2,8,0.0057067
DTLZ2,eps+,w_00,2,9,0.0056649
WFG4,hv,w_00,3,0,76.41016
WFG4,hv,w_00,3,1,76.60503
WFG4,hv,w_00,3,2,76.5435
WFG4,hv,w_00,3,3,76.50896
WFG4,hv,w_00,3,4,76.22258
WFG4,hv,w_00,3,5,76.56884
WFG4,hv,w_00,3,6,76.39949
WFG4,hv,w_00,3,7,76.3071
WFG4,hv,w_00,3,8,76.37936
WFG4,hv,w_00,3,9,76.49469
DTLZ5,spd,w_00,7,0,116.715
DTLZ5,spd,w_00,7,1,118.047
DTLZ5,spd,w_00,7,2,114.9389
DTLZ5,spd,w_00,7,3,98.727
DTLZ5,spd,w_00,7,4,113.9538
DTLZ5,spd,w_00,7,5,106.6372
DTLZ5,spd,w_00,7,6,117.8766
DTLZ5,spd,w_00,7,7,116.6822
DTLZ5,spd,w_00,7,8,118.6577
DTLZ5,spd,w_00,7,9,84.69012
WFG4,spd,w_00,5,0,119.2042
WFG4,spd,w_00,5,1,119.943
WFG4,spd,w_00,5,2,119.9337
WFG4,spd,w_00,5,3,119.7913
WFG4,spd,w_00,5,4,119.9474
WFG4,spd,w_00,5,5,119.721
WFG4,spd,w_00,5,6,119.9298
WFG4,spd,w_00,5,7,119.8997
WFG4,spd,w_00,5,8,119.9514
WFG4,spd,w_00,5,9,119.949
WFG7,igd,w_00,3,0,0.2183369
WFG7,igd,w_00,3,1,0.2198879
WFG7,igd,w_00,3,2,0.218671
WFG7,igd,w_00,3,3,0.2225679
WFG7,igd,w_00,3,4,0.21884
WFG7,igd,w_00,3,5,0.2163967
WFG7,igd,w_00,3,6,0.2172371
WFG7,igd,w_00,3,7,0.2179941
WFG7,igd,w_00,3,8,0.2188593
WFG7,igd,w_00,3,9,0.2168857
DTLZ3,s-energy,w_00,6,0,20668030000.0
DTLZ3,s-energy,w_00,6,1,1091033000000.0
DTLZ3,s-energy,w_00,6,2,673399000.0
DTLZ3,s-energy,w_00,6,3,338831000000.0
DTLZ3,s-energy,w_00,6,4,400568900000.0
DTLZ3,s-energy,w_00,6,5,260516800.0
DTLZ3,s-energy,w_00,6,6,13922950000000.0
DTLZ3,s-energy,w_00,6,7,423176500000.0
DTLZ3,s-energy,w_00,6,8,1275476000000.0
DTLZ3,s-energy,w_00,6,9,2416563000000.0
WFG6,igd,w_00,5,0,1.75783
WFG6,igd,w_00,5,1,1.759123
WFG6,igd,w_00,5,2,1.752106
WFG6,igd,w_00,5,3,1.758568
WFG6,igd,w_00,5,4,1.769224
WFG6,igd,w_00,5,5,1.77005
WFG6,igd,w_00,5,6,1.769346
WFG6,igd,w_00,5,7,1.748219
WFG6,igd,w_00,5,8,1.755137
WFG6,igd,w_00,5,9,1.755649
DTLZ3,spd,w_00,7,0,35.79136
DTLZ3,spd,w_00,7,1,87.0
DTLZ3,spd,w_00,7,2,0.0
DTLZ3,spd,w_00,7,3,0.0
DTLZ3,spd,w_00,7,4,19.80195
DTLZ3,spd,w_00,7,5,0.0
DTLZ3,spd,w_00,7,6,40.27178
DTLZ3,spd,w_00,7,7,0.0
DTLZ3,spd,w_00,7,8,98.25702
DTLZ3,spd,w_00,7,9,19.96525
WFG2,igd,w_00,3,0,0.212436
WFG2,igd,w_00,3,1,0.2345997
WFG2,igd,w_00,3,2,0.2097741
WFG2,igd,w_00,3,3,0.2356416
WFG2,igd,w_00,3,4,0.593123
WFG2,igd,w_00,3,5,0.5944415
WFG2,igd,w_00,3,6,0.2010443
WFG2,igd,w_00,3,7,0.5957844
WFG2,igd,w_00,3,8,0.195357
WFG2,igd,w_00,3,9,0.1959103
DTLZ7,igd,w_00,7,0,9.303021
DTLZ7,igd,w_00,7,1,9.432951
DTLZ7,igd,w_00,7,2,9.686001
DTLZ7,igd,w_00,7,3,9.694885
DTLZ7,igd,w_00,7,4,9.041971
DTLZ7,igd,w_00,7,5,9.211283
DTLZ7,igd,w_00,7,6,9.239726
DTLZ7,igd,w_00,7,7,9.317281
