hiperparam_ind_conv,problema,n_objetivos,w_0,run,indicador,valor_indicador
IGD+,WFG9,3,0.001,0,eps+,-0.217718
IGD+,WFG9,3,0.001,1,eps+,-0.240986
IGD+,WFG9,3,0.001,2,eps+,-0.240616
IGD+,WFG9,3,0.001,3,eps+,-0.2360984
IGD+,WFG9,3,0.001,4,eps+,-0.26739
IGD+,WFG9,3,0.001,5,eps+,-0.231144
IGD+,WFG9,3,0.001,6,eps+,-0.256653
IGD+,WFG9,3,0.001,7,eps+,-0.229309
IGD+,WFG9,3,0.001,8,eps+,-0.255309
IGD+,WFG9,3,0.001,9,eps+,-0.209055
IGD+,WFG9,3,0.001,10,eps+,-0.255781
IGD+,WFG9,3,0.001,11,eps+,-0.242679
IGD+,WFG9,3,0.001,12,eps+,-0.223533
IGD+,WFG9,3,0.001,13,eps+,-0.216419
IGD+,WFG9,3,0.001,14,eps+,-0.233609
IGD+,WFG9,3,0.001,15,eps+,-0.247423
IGD+,WFG9,3,0.001,16,eps+,-0.211957
IGD+,WFG9,3,0.001,17,eps+,-0.239981
IGD+,WFG9,3,0.001,18,eps+,-0.239711
IGD+,WFG9,3,0.001,19,eps+,-0.249027
IGD+,WFG8,7,0.001,0,r2,3702.359
IGD+,WFG8,7,0.001,1,r2,3439.39
IGD+,WFG8,7,0.001,2,r2,3010.487
IGD+,WFG8,7,0.001,3,r2,2770.234
IGD+,WFG8,7,0.001,4,r2,3374.487
IGD+,WFG8,7,0.001,5,r2,2673.684
IGD+,WFG8,7,0.001,6,r2,2938.499
IGD+,WFG8,7,0.001,7,r2,2551.715
IGD+,WFG8,7,0.001,8,r2,3447.606
IGD+,WFG8,7,0.001,9,r2,3239.891
IGD+,WFG8,7,0.001,10,r2,2857.638
IGD+,WFG8,7,0.001,11,r2,3016.262
IGD+,WFG8,7,0.001,12,r2,3078.36
IGD+,WFG8,7,0.001,13,r2,2892.833
IGD+,WFG8,7,0.001,14,r2,3295.791
IGD+,WFG8,7,0.001,15,r2,3284.771
IGD+,WFG8,7,0.001,16,r2,2676.686
IGD+,WFG8,7,0.001,17,r2,2562.527
IGD+,WFG8,7,0.001,18,r2,2806.035
IGD+,WFG8,7,0.001,19,r2,2700.597
IGD+,DTLZ4,4,0.001,0,hv,15.55168
IGD+,DTLZ4,4,0.001,1,hv,15.55102
IGD+,DTLZ4,4,0.001,2,hv,15.55162
IGD+,DTLZ4,4,0.001,3,hv,12.82962
IGD+,DTLZ4,4,0.001,4,hv,15.54917
IGD+,DTLZ4,4,0.001,5,hv,15.54933
IGD+,DTLZ4,4,0.001,6,hv,14.8207
IGD+,DTLZ4,4,0.001,7,hv,15.55413
IGD+,DTLZ4,4,0.001,8,hv,12.83684
IGD+,DTLZ4,4,0.001,9,hv,12.83824
IGD+,DTLZ4,4,0.001,10,hv,15.55156
IGD+,DTLZ4,4,0.001,11,hv,15.54469
IGD+,DTLZ4,4,0.001,12,hv,14.80835
IGD+,DTLZ4,4,0.001,13,hv,14.82724
IGD+,DTLZ4,4,0.001,14,hv,14.80379
IGD+,DTLZ4,4,0.001,15,hv,15.54791
IGD+,DTLZ4,4,0.001,16,hv,15.54561
IGD+,DTLZ4,4,0.001,17,hv,14.80975
IGD+,DTLZ4,4,0.001,18,hv,15.54686
IGD+,DTLZ4,4,0.001,19,hv,15.54597
IGD+,DTLZ3,5,0.001,0,s-energy,-159353.3
IGD+,DTLZ3,5,0.001,1,s-energy,-2412138.0
IGD+,DTLZ3,5,0.001,2,s-energy,-81649.38
IGD+,DTLZ3,5,0.001,3,s-energy,-95384.62
IGD+,DTLZ3,5,0.001,4,s-energy,-128731.6
IGD+,DTLZ3,5,0.001,5,s-energy,-111019.0
IGD+,DTLZ3,5,0.001,6,s-energy,-86659.65
IGD+,DTLZ3,5,0.001,7,s-energy,-106845.7
IGD+,DTLZ3,5,0.001,8,s-energy,-129751.5
IGD+,DTLZ3,5,0.001,9,s-energy,-109219.4
IGD+,DTLZ3,5,0.001,10,s-energy,-112034.2
IGD+,DTLZ3,5,0.001,11,s-energy,-111521.1
IGD+,DTLZ3,5,0.001,12,s-energy,-139408.8
IGD+,DTLZ3,5,0.001,13,s-energy,-129696.4
IGD+,DTLZ3,5,0.001,14,s-energy,-111953.5
IGD+,DTLZ3,5,0.001,15,s-energy,-122943.7
IGD+,DTLZ3,5,0.001,16,s-energy,-99624.56
IGD+,DTLZ3,5,0.001,17,s-energy,-131563.9
IGD+,DTLZ3,5,0.001,18,s-energy,-170505.1
IGD+,DTLZ3,5,0.001,19,s-energy,-128730.5
IGD+,DTLZ2,3,0.001,0,r2,1.366708
IGD+,DTLZ2,3,0.001,1,r2,1.359491
IGD+,DTLZ2,3,0.001,2,r2,1.348183
IGD+,DTLZ2,3,0.001,3,r2,1.339196
IGD+,DTLZ2,3,0.001,4,r2,1.397612
IGD+,DTLZ2,3,0.001,5,r2,1.352737
IGD+,DTLZ2,3,0.001,6,r2,1.375531
IGD+,DTLZ2,3,0.001,7,r2,1.333528
IGD+,DTLZ2,3,0.001,8,r2,1.348157
IGD+,DTLZ2,3,0.001,9,r2,1.365459
IGD+,DTLZ2,3,0.001,10,r2,1.357214
IGD+,DTLZ2,3,0.001,11,r2,1.37813
IGD+,DTLZ2,3,0.001,12,r2,1.36034
IGD+,DTLZ2,3,0.001,13,r2,1.354677
IGD+,DTLZ2,3,0.001,14,r2,1.353357
IGD+,DTLZ2,3,0.001,15,r2,1.360597
IGD+,DTLZ2,3,0.001,16,r2,1.320521
IGD+,DTLZ2,3,0.001,17,r2,1.357131
IGD+,DTLZ2,3,0.001,18,r2,1.360925
IGD+,DTLZ2,3,0.001,19,r2,1.292588
IGD+,WFG3,3,0.001,0,s-energy,-58538.47
IGD+,WFG3,3,0.001,1,s-energy,-77915.73
IGD+,WFG3,3,0.001,2,s-energy,-65882.85
IGD+,WFG3,3,0.001,3,s-energy,-66350.79
IGD+,WFG3,3,0.001,4,s-energy,-82772.34
IGD+,WFG3,3,0.001,5,s-energy,-75110.0
IGD+,WFG3,3,0.001,6,s-energy,-68200.19
IGD+,WFG3,3,0.001,7,s-energy,-65956.6
IGD+,WFG3,3,0.001,8,s-energy,-68821.65
IGD+,WFG3,3,0.001,9,s-energy,-75004.26
IGD+,WFG3,3,0.001,10,s-energy,-73748.57
IGD+,WFG3,3,0.001,11,s-energy,-76308.15
IGD+,WFG3,3,0.001,12,s-energy,-68148.97
IGD+,WFG3,3,0.001,13,s-energy,-67637.73
IGD+,WFG3,3,0.001,14,s-energy,-65648.98
IGD+,WFG3,3,0.001,15,s-energy,-77265.36
IGD+,WFG3,3,0.001,16,s-energy,-85167.95
IGD+,WFG3,3,0.001,17,s-energy,-65129.22
IGD+,WFG3,3,0.001,18,s-energy,-76284.07
IGD+,WFG3,3,0.001,19,s-energy,-78045.22
IGD+,DTLZ7,4,0.001,0,igd+,-0.07821823
IGD+,DTLZ7,4,0.001,1,igd+,-0.07578077
IGD+,DTLZ7,4,0.001,2,igd+,-0.07477193
IGD+,DTLZ7,4,0.001,3,igd+,-0.1911715
IGD+,DTLZ7,4,0.001,4,igd+,-0.07508861
IGD+,DTLZ7,4,0.001,5,igd+,-0.07795061
IGD+,DTLZ7,4,0.001,6,igd+,-0.1919035
IGD+,DTLZ7,4,0.001,7,igd+,-0.0779995
IGD+,DTLZ7,4,0.001,8,igd+,-0.08240403
IGD+,DTLZ7,4,0.001,9,igd+,-0.08305009
IGD+,DTLZ7,4,0.001,10,igd+,-0.08186485
IGD+,DTLZ7,4,0.001,11,igd+,-0.07202007
IGD+,DTLZ7,4,0.001,12,igd+,-0.1931058
IGD+,DTLZ7,4,0.001,13,igd+,-0.07810194
IGD+,DTLZ7,4,0.001,14,igd+,-0.07704294
IGD+,DTLZ7,4,0.001,15,igd+,-0.0779348
IGD+,DTLZ7,4,0.001,16,igd+,-0.07655493
IGD+,DTLZ7,4,0.001,17,igd+,-0.07607099
IGD+,DTLZ7,4,0.001,18,igd+,-0.07756073
IGD+,DTLZ7,4,0.001,19,igd+,-0.07476411
IGD+,WFG3,2,0.001,0,eps+,-0.016647
IGD+,WFG3,2,0.001,1,eps+,-0.016008
IGD+,WFG3,2,0.001,2,eps+,-0.0169911
IGD+,WFG3,2,0.001,3,eps+,-0.0179697
IGD+,WFG3,2,0.001,4,eps+,-0.013686
IGD+,WFG3,2,0.001,5,eps+,-0.012879
IGD+,WFG3,2,0.001,6,eps+,-0.017043
IGD+,WFG3,2,0.001,7,eps+,-0.016829
IGD+,WFG3,2,0.001,8,eps+,-0.014031
IGD+,WFG3,2,0.001,9,eps+,-0.017507
IGD+,WFG3,2,0.001,10,eps+,-0.0196681
IGD+,WFG3,2,0.001,11,eps+,-0.018201
IGD+,WFG3,2,0.001,12,eps+,-0.011378
IGD+,WFG3,2,0.001,13,eps+,-0.019013
IGD+,WFG3,2,0.001,14,eps+,-0.015275
IGD+,WFG3,2,0.001,15,eps+,-0.016871
IGD+,WFG3,2,0.001,16,eps+,-0.016106
IGD+,WFG3,2,0.001,17,eps+,-0.019856
IGD+,WFG3,2,0.001,18,eps+,-0.01699
IGD+,WFG3,2,0.001,19,eps+,-0.0137386
IGD+,DTLZ5,7,0.001,0,hv,30.92795
IGD+,DTLZ5,7,0.001,1,hv,28.55735
IGD+,DTLZ5,7,0.001,2,hv,16.31223
IGD+,DTLZ5,7,0.001,3,hv,37.10145
IGD+,DTLZ5,7,0.001,4,hv,45.52068
IGD+,DTLZ5,7,0.001,5,hv,64.13587
IGD+,DTLZ5,7,0.001,6,hv,33.42307
IGD+,DTLZ5,7,0.001,7,hv,30.13487
IGD+,DTLZ5,7,0.001,8,hv,90.7524
IGD+,DTLZ5,7,0.001,9,hv,24.38077
IGD+,DTLZ5,7,0.001,10,hv,89.17028
IGD+,DTLZ5,7,0.001,11,hv,54.55463
IGD+,DTLZ5,7,0.001,12,hv,34.81129
IGD+,DTLZ5,7,0.001,13,hv,37.24104
IGD+,DTLZ5,7,0.001,14,hv,28.94635
IGD+,DTLZ5,7,0.001,15,hv,65.52531
IGD+,DTLZ5,7,0.001,16,hv,15.89965
IGD+,DTLZ5,7,0.001,17,hv,18.56941
IGD+,DTLZ5,7,0.001,18,hv,33.37797
IGD+,DTLZ5,7,0.001,19,hv,42.75849
IGD+,DTLZ6,2,0.001,0,s-energy,-2261971.0
IGD+,DTLZ6,2,0.001,1,s-energy,-2270215.0
IGD+,DTLZ6,2,0.001,2,s-energy,-2271449.0
IGD+,DTLZ6,2,0.001,3,s-energy,-2254534.0
IGD+,DTLZ6,2,0.001,4,s-energy,-2248461.0
IGD+,DTLZ6,2,0.001,5,s-energy,-2271674.0
IGD+,DTLZ6,2,0.001,6,s-energy,-2266262.0
IGD+,DTLZ6,2,0.001,7,s-energy,-2263149.0
IGD+,DTLZ6,2,0.001,8,s-energy,-2267711.0
IGD+,DTLZ6,2,0.001,9,s-energy,-2321785.0
IGD+,DTLZ6,2,0.001,10,s-energy,-2293157.0
IGD+,DTLZ6,2,0.001,11,s-energy,-2278752.0
IGD+,DTLZ6,2,0.001,12,s-energy,-2253238.0
IGD+,DTLZ6,2,0.001,13,s-energy,-2277229.0
IGD+,DTLZ6,2,0.001,14,s-energy,-2288635.0
IGD+,DTLZ6,2,0.001,15,s-energy,-2280289.0
IGD+,DTLZ6,2,0.001,16,s-energy,-2308891.0
IGD+,DTLZ6,2,0.001,17,s-energy,-2283352.0
IGD+,DTLZ6,2,0.001,18,s-energy,-2271609.0
IGD+,DTLZ6,2,0.001,19,s-energy,-2271718.0
IGD+,DTLZ7,2,0.001,0,r2,1443.13
IGD+,DTLZ7,2,0.001,1,r2,1443.16
IGD+,DTLZ7,2,0.001,2,r2,1443.153
IGD+,DTLZ7,2,0.001,3,r2,1443.124
IGD+,DTLZ7,2,0.001,4,r2,1443.244
IGD+,DTLZ7,2,0.001,5,r2,1443.169
IGD+,DTLZ7,2,0.001,6,r2,1443.188
IGD+,DTLZ7,2,0.001,7,r2,1443.14
IGD+,DTLZ7,2,0.001,8,r2,1443.163
IGD+,DTLZ7,2,0.001,9,r2,1443.164
IGD+,DTLZ7,2,0.001,10,r2,1443.07
IGD+,DTLZ7,2,0.001,11,r2,1443.009
IGD+,DTLZ7,2,0.001,12,r2,1443.212
IGD+,DTLZ7,2,0.001,13,r2,1443.271
IGD+,DTLZ7,2,0.001,14,r2,1443.186
IGD+,DTLZ7,2,0.001,15,r2,1443.148
IGD+,DTLZ7,2,0.001,16,r2,1443.214
IGD+,DTLZ7,2,0.001,17,r2,1443.186
IGD+,DTLZ7,2,0.001,18,r2,1443.148
IGD+,DTLZ7,2,0.001,19,r2,1443.23
IGD+,DTLZ3,2,0.001,0,r2,1.008131
IGD+,DTLZ3,2,0.001,1,r2,1.00565
IGD+,DTLZ3,2,0.001,2,r2,1.011687
IGD+,DTLZ3,2,0.001,3,r2,1.00294
IGD+,DTLZ3,2,0.001,4,r2,1.004813
IGD+,DTLZ3,2,0.001,5,r2,1.016512
IGD+,DTLZ3,2,0.001,6,r2,1.023263
IGD+,DTLZ3,2,0.001,7,r2,1.017287
IGD+,DTLZ3,2,0.001,8,r2,1.003646
IGD+,DTLZ3,2,0.001,9,r2,1.004589
IGD+,DTLZ3,2,0.001,10,r2,1.008244
IGD+,DTLZ3,2,0.001,11,r2,1.003725
IGD+,DTLZ3,2,0.001,12,r2,1.007291
IGD+,DTLZ3,2,0.001,13,r2,1.009547
IGD+,DTLZ3,2,0.001,14,r2,1.015227
IGD+,DTLZ3,2,0.001,15,r2,1.003602
IGD+,DTLZ3,2,0.001,16,r2,1.003704
IGD+,DTLZ3,2,0.001,17,r2,1.010217
IGD+,DTLZ3,2,0.001,18,r2,1.006246
IGD+,DTLZ3,2,0.001,19,r2,1.008662
IGD+,WFG4,6,0.001,0,spd,119.9999
IGD+,WFG4,6,0.001,1,spd,119.9998
IGD+,WFG4,6,0.001,2,spd,119.9998
IGD+,WFG4,6,0.001,3,spd,119.9995
IGD+,WFG4,6,0.001,4,spd,119.9998
IGD+,WFG4,6,0.001,5,spd,119.9999
IGD+,WFG4,6,0.001,6,spd,119.9998
IGD+,WFG4,6,0.001,7,spd,119.9995
IGD+,WFG4,6,0.001,8,spd,119.9996
IGD+,WFG4,6,0.001,9,spd,119.9998
IGD+,WFG4,6,0.001,10,spd,119.9996
IGD+,WFG4,6,0.001,11,spd,119.9996
IGD+,WFG4,6,0.001,12,spd,119.9997
IGD+,WFG4,6,0.001,13,spd,119.9997
IGD+,WFG4,6,0.001,14,spd,119.999
IGD+,WFG4,6,0.001,15,spd,119.9995
IGD+,WFG4,6,0.001,16,spd,120.0
IGD+,WFG4,6,0.001,17,spd,119.9995
IGD+,WFG4,6,0.001,18,spd,119.9998
IGD+,WFG4,6,0.001,19,spd,119.9999
IGD+,WFG4,7,0.001,0,hv,1755837.0
IGD+,WFG4,7,0.001,1,hv,1742526.0
IGD+,WFG4,7,0.001,2,hv,1722838.0
IGD+,WFG4,7,0.001,3,hv,1733011.0
IGD+,WFG4,7,0.001,4,hv,1742185.0
IGD+,WFG4,7,0.001,5,hv,1705181.0
IGD+,WFG4,7,0.001,6,hv,1750031.0
IGD+,WFG4,7,0.001,7,hv,1730378.0
IGD+,WFG4,7,0.001,8,hv,1726655.0
IGD+,WFG4,7,0.001,9,hv,1733718.0
IGD+,WFG4,7,0.001,10,hv,1736828.0
IGD+,WFG4,7,0.001,11,hv,1729438.0
IGD+,WFG4,7,0.001,12,hv,1735901.0
IGD+,WFG4,7,0.001,13,hv,1675340.0
IGD+,WFG4,7,0.001,14,hv,1717703.0
IGD+,WFG4,7,0.001,15,hv,1732472.0
IGD+,WFG4,7,0.001,16,hv,1755955.0
IGD+,WFG4,7,0.001,17,hv,1724253.0
IGD+,WFG4,7,0.001,18,hv,1734931.0
IGD+,WFG4,7,0.001,19,hv,1721006.0
