problema,indicador,w0,dimension,run,valor
WFG9,eps+,w_00,3,0,0.217718
WFG9,eps+,w_00,3,1,0.240986
WFG9,eps+,w_00,3,2,0.240616
WFG9,eps+,w_00,3,3,0.2360984
WFG9,eps+,w_00,3,4,0.26739
WFG9,eps+,w_00,3,5,0.231144
WFG9,eps+,w_00,3,6,0.256653
WFG9,eps+,w_00,3,7,0.229309
WFG9,eps+,w_00,3,8,0.255309
WFG9,eps+,w_00,3,9,0.209055
WFG8,r2,w_00,7,0,3702.359
WFG8,r2,w_00,7,1,3439.39
WFG8,r2,w_00,7,2,3010.487
WFG8,r2,w_00,7,3,2770.234
WFG8,r2,w_00,7,4,3374.487
WFG8,r2,w_00,7,5,2673.684
WFG8,r2,w_00,7,6,2938.499
WFG8,r2,w_00,7,7,2551.715
WFG8,r2,w_00,7,8,3447.606
WFG8,r2,w_00,7,9,3239.891
DTLZ4,hv,w_00,4,0,15.55168
DTLZ4,hv,w_00,4,1,15.55102
DTLZ4,hv,w_00,4,2,15.55162
DTLZ4,hv,w_00,4,3,12.82962
DTLZ4,hv,w_00,4,4,15.54917
DTLZ4,hv,w_00,4,5,15.54933
DTLZ4,hv,w_00,4,6,14.8207
DTLZ4,hv,w_00,4,7,15.55413
DTLZ4,hv,w_00,4,8,12.83684
DTLZ4,hv,w_00,4,9,12.83824
DTLZ3,s-energy,w_00,5,0,159353.3
DTLZ3,s-energy,w_00,5,1,2412138.0
DTLZ3,s-energy,w_00,5,2,81649.38
DTLZ3,s-energy,w_00,5,3,95384.62
DTLZ3,s-energy,w_00,5,4,128731.6
DTLZ3,s-energy,w_00,5,5,111019.0
DTLZ3,s-energy,w_00,5,6,86659.65
DTLZ3,s-energy,w_00,5,7,106845.7
DTLZ3,s-energy,w_00,5,8,129751.5
DTLZ3,s-energy,w_00,5,9,109219.4
DTLZ2,r2,w_00,3,0,1.366708
DTLZ2,r2,w_00,3,1,1.359491
DTLZ2,r2,w_00,3,2,1.348183
DTLZ2,r2,w_00,3,3,1.339196
DTLZ2,r2,w_00,3,4,1.397612
DTLZ2,r2,w_00,3,5,1.352737
DTLZ2,r2,w_00,3,6,1.375531
DTLZ2,r2,w_00,3,7,1.333528
DTLZ2,r2,w_00,3,8,1.348157
DTLZ2,r2,w_00,3,9,1.365459
ZDT4,igd+,w_00,2,0,-nan 
ZDT4,igd+,w_00,2,1,-nan 
ZDT4,igd+,w_00,2,2,-nan 
ZDT4,igd+,w_00,2,3,-nan 
ZDT4,igd+,w_00,2,4,-nan 
ZDT4,igd+,w_00,2,5,-nan 
ZDT4,igd+,w_00,2,6,-nan 
ZDT4,igd+,w_00,2,7,-nan 
ZDT4,igd+,w_00,2,8,-nan 
ZDT4,igd+,w_00,2,9,-nan 
WFG3,s-energy,w_00,3,0,58538.47
WFG3,s-energy,w_00,3,1,77915.73
WFG3,s-energy,w_00,3,2,65882.85
WFG3,s-energy,w_00,3,3,66350.79
WFG3,s-energy,w_00,3,4,82772.34
WFG3,s-energy,w_00,3,5,75110.0
WFG3,s-energy,w_00,3,6,68200.19
WFG3,s-energy,w_00,3,7,65956.6
WFG3,s-energy,w_00,3,8,68821.65
WFG3,s-energy,w_00,3,9,75004.26
DTLZ7,igd+,w_00,4,0,0.07821823
DTLZ7,igd+,w_00,4,1,0.07578077
DTLZ7,igd+,w_00,4,2,0.07477193
DTLZ7,igd+,w_00,4,3,0.1911715
DTLZ7,igd+,w_00,4,4,0.07508861
DTLZ7,igd+,w_00,4,5,0.07795061
DTLZ7,igd+,w_00,4,6,0.1919035
DTLZ7,igd+,w_00,4,7,0.0779995
DTLZ7,igd+,w_00,4,8,0.08240403
DTLZ7,igd+,w_00,4,9,0.08305009
WFG5,eps+,w_00,10,0,2.121996e-313
WFG5,eps+,w_00,10,1,2.121996e-313
WFG5,eps+,w_00,10,2,2.121996e-313
WFG5,eps+,w_00,10,3,2.121996e-313
WFG5,eps+,w_00,10,4,2.121996e-313
WFG5,eps+,w_00,10,5,2.121996e-313
WFG5,eps+,w_00,10,6,2.121996e-313
WFG5,eps+,w_00,10,7,2.121996e-313
WFG5,eps+,w_00,10,8,2.121996e-313
WFG5,eps+,w_00,10,9,2.121996e-313
WFG3,eps+,w_00,2,0,0.016647
WFG3,eps+,w_00,2,1,0.016008
WFG3,eps+,w_00,2,2,0.0169911
WFG3,eps+,w_00,2,3,0.0179697
WFG3,eps+,w_00,2,4,0.013686
WFG3,eps+,w_00,2,5,0.012879
WFG3,eps+,w_00,2,6,0.017043
WFG3,eps+,w_00,2,7,0.016829
WFG3,eps+,w_00,2,8,0.014031
WFG3,eps+,w_00,2,9,0.017507
DTLZ5,hv,w_00,7,0,30.92795
DTLZ5,hv,w_00,7,1,28.55735
DTLZ5,hv,w_00,7,2,16.31223
DTLZ5,hv,w_00,7,3,37.10145
DTLZ5,hv,w_00,7,4,45.52068
DTLZ5,hv,w_00,7,5,64.13587
DTLZ5,hv,w_00,7,6,33.42307
DTLZ5,hv,w_00,7,7,30.13487
DTLZ5,hv,w_00,7,8,90.7524
DTLZ5,hv,w_00,7,9,24.38077
DTLZ2,eps+,w_00,10,0,2.121996e-313
DTLZ2,eps+,w_00,10,1,2.121996e-313
DTLZ2,eps+,w_00,10,2,2.121996e-313
DTLZ2,eps+,w_00,10,3,2.121996e-313
DTLZ2,eps+,w_00,10,4,2.121996e-313
DTLZ2,eps+,w_00,10,5,2.121996e-313
DTLZ2,eps+,w_00,10,6,2.121996e-313
DTLZ2,eps+,w_00,10,7,2.121996e-313
DTLZ2,eps+,w_00,10,8,2.121996e-313
DTLZ2,eps+,w_00,10,9,2.121996e-313
DTLZ6,s-energy,w_00,2,0,2261971.0
DTLZ6,s-energy,w_00,2,1,2270215.0
DTLZ6,s-energy,w_00,2,2,2271449.0
DTLZ6,s-energy,w_00,2,3,2254534.0
DTLZ6,s-energy,w_00,2,4,2248461.0
DTLZ6,s-energy,w_00,2,5,2271674.0
DTLZ6,s-energy,w_00,2,6,2266262.0
DTLZ6,s-energy,w_00,2,7,2263149.0
DTLZ6,s-energy,w_00,2,8,2267711.0
DTLZ6,s-energy,w_00,2,9,2321785.0
DTLZ7,r2,w_00,2,0,1443.13
DTLZ7,r2,w_00,2,1,1443.16
DTLZ7,r2,w_00,2,2,1443.153
DTLZ7,r2,w_00,2,3,1443.124
DTLZ7,r2,w_00,2,4,1443.244
DTLZ7,r2,w_00,2,5,1443.169
DTLZ7,r2,w_00,2,6,1443.188
DTLZ7,r2,w_00,2,7,1443.14
DTLZ7,r2,w_00,2,8,1443.163
DTLZ7,r2,w_00,2,9,1443.164
ZDT6,spd,w_00,2,0,6.910349
ZDT6,spd,w_00,2,1,6.909843
ZDT6,spd,w_00,2,2,6.909899
ZDT6,spd,w_00,2,3,6.910198
ZDT6,spd,w_00,2,4,6.910294
ZDT6,spd,w_00,2,5,6.91072
ZDT6,spd,w_00,2,6,6.910106
ZDT6,spd,w_00,2,7,6.910276
ZDT6,spd,w_00,2,8,6.909998
ZDT6,spd,w_00,2,9,6.909891
DTLZ3,r2,w_00,2,0,1.008131
DTLZ3,r2,w_00,2,1,1.00565
DTLZ3,r2,w_00,2,2,1.011687
DTLZ3,r2,w_00,2,3,1.00294
DTLZ3,r2,w_00,2,4,1.004813
DTLZ3,r2,w_00,2,5,1.016512
DTLZ3,r2,w_00,2,6,1.023263
DTLZ3,r2,w_00,2,7,1.017287
DTLZ3,r2,w_00,2,8,1.003646
DTLZ3,r2,w_00,2,9,1.004589
WFG4,spd,w_00,6,0,119.9999
WFG4,spd,w_00,6,1,119.9998
